CYCLE_ACTIVITY.STALLS_L3_MISS, 0x6a3
LD_HEAD.ANY_AT_RET, 0xff05
LD_HEAD.L1_BOUND_AT_RET, 0xf405
LD_HEAD.L1_MISS_AT_RET, 0x8105
LD_HEAD.OTHER_AT_RET, 0xc005
LD_HEAD.PGWALK_AT_RET, 0xa005
LD_HEAD.ST_ADDR_AT_RET, 0x8405
MACHINE_CLEARS.MEMORY_ORDERING, 0x2c3
MACHINE_CLEARS.MEMORY_ORDERING, 0x2c3
MEMORY_ACTIVITY.CYCLES_L1D_MISS, 0x247
MEMORY_ACTIVITY.STALLS_L1D_MISS, 0x347
MEMORY_ACTIVITY.STALLS_L2_MISS, 0x547
MEMORY_ACTIVITY.STALLS_L3_MISS, 0x947
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_1024, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_128, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_16, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_256, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_32, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_512, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_64, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_8, 0x1cd
MEM_TRANS_RETIRED.STORE_SAMPLE, 0x2cd
OCR.DEMAND_CODE_RD.DRAM, 0x1b7
OCR.DEMAND_CODE_RD.L3_MISS, 0x1b7
OCR.DEMAND_DATA_RD.DRAM, 0x1b7
OCR.DEMAND_DATA_RD.L3_MISS, 0x1b7
OCR.DEMAND_DATA_RD.L3_MISS_LOCAL, 0x1b7
OCR.DEMAND_RFO.DRAM, 0x1b7
OCR.DEMAND_RFO.L3_MISS, 0x1b7
OCR.DEMAND_RFO.L3_MISS_LOCAL, 0x1b7
OCR.SWPF_RD.DRAM, 0x1b7
OCR.SWPF_RD.L3_MISS, 0x1b7
OFFCORE_REQUESTS.L3_MISS_DEMAND_DATA_RD, 0x1021
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD, 0x1020
DTLB_LOAD_MISSES.STLB_HIT, 0x2012
DTLB_LOAD_MISSES.WALK_ACTIVE, 0x1012
DTLB_LOAD_MISSES.WALK_COMPLETED, 0xe08
DTLB_LOAD_MISSES.WALK_COMPLETED, 0xe12
DTLB_LOAD_MISSES.WALK_COMPLETED_1G, 0x812
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M, 0x412
DTLB_LOAD_MISSES.WALK_COMPLETED_4K, 0x212
DTLB_LOAD_MISSES.WALK_PENDING, 0x1012
DTLB_STORE_MISSES.STLB_HIT, 0x2013
DTLB_STORE_MISSES.WALK_ACTIVE, 0x1013
DTLB_STORE_MISSES.WALK_COMPLETED, 0xe49
DTLB_STORE_MISSES.WALK_COMPLETED, 0xe13
DTLB_STORE_MISSES.WALK_COMPLETED_1G, 0x813
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M, 0x413
DTLB_STORE_MISSES.WALK_COMPLETED_4K, 0x213
DTLB_STORE_MISSES.WALK_PENDING, 0x1013
ITLB_MISSES.MISS_CAUSED_WALK, 0x185
ITLB_MISSES.PDE_CACHE_MISS, 0x8085
ITLB_MISSES.STLB_HIT, 0x2011
ITLB_MISSES.WALK_ACTIVE, 0x1011
ITLB_MISSES.WALK_COMPLETED, 0xe85
ITLB_MISSES.WALK_COMPLETED, 0xe11
ITLB_MISSES.WALK_COMPLETED_2M_4M, 0x411
ITLB_MISSES.WALK_COMPLETED_4K, 0x211
ITLB_MISSES.WALK_PENDING, 0x1011
LD_HEAD.DTLB_MISS_AT_RET, 0x9005
MEM_UOPS_RETIRED.DTLB_MISS, 0x13d0
MEM_UOPS_RETIRED.DTLB_MISS_LOADS, 0x11d0
MEM_UOPS_RETIRED.DTLB_MISS_STORES, 0x12d0
UNC_CLOCK.SOCKET, 0xff
ARITH.FPDIV_ACTIVE, 0x2cd
ARITH.FPDIV_ACTIVE, 0x1b0
ARITH.FPDIV_UOPS, 0x8cd
ASSISTS.FP, 0x2c1
ASSISTS.SSE_AVX_MIX, 0x10c1
FP_ARITH_DISPATCHED.PORT_0, 0x1b3
FP_ARITH_DISPATCHED.PORT_1, 0x2b3
FP_ARITH_DISPATCHED.PORT_5, 0x4b3
FP_ARITH_DISPATCHED.V0, 0x1b3
FP_ARITH_DISPATCHED.V1, 0x2b3
FP_ARITH_DISPATCHED.V2, 0x4b3
FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE, 0x4c7
FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE, 0x8c7
FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE, 0x10c7
FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE, 0x20c7
FP_ARITH_INST_RETIRED.4_FLOPS, 0x18c7
FP_ARITH_INST_RETIRED.SCALAR, 0x3c7
FP_ARITH_INST_RETIRED.SCALAR_DOUBLE, 0x1c7
FP_ARITH_INST_RETIRED.SCALAR_SINGLE, 0x2c7
FP_ARITH_INST_RETIRED.VECTOR, 0xfcc7
MACHINE_CLEARS.FP_ASSIST, 0x4c3
UOPS_RETIRED.FPDIV, 0x8c2
ASSISTS.HARDWARE, 0x4c1
ASSISTS.PAGE_FAULT, 0x8c1
CORE_POWER.LICENSE_1, 0x228
CORE_POWER.LICENSE_2, 0x428
CORE_POWER.LICENSE_3, 0x828
LBR_INSERTS.ANY, 0x1e4
OCR.FULL_STREAMING_WR.ANY_RESPONSE, 0x1b7
OCR.PARTIAL_STREAMING_WR.ANY_RESPONSE, 0x1b7
OCR.STREAMING_WR.ANY_RESPONSE, 0x1b7
XQ.FULL_CYCLES, 0x12d
BACLEARS.ANY, 0x1e6
BACLEARS.ANY, 0x160
DECODE.LCP, 0x187
DECODE.MS_BUSY, 0x287
DSB2MITE_SWITCHES.PENALTY_CYCLES, 0x261
FRONTEND_RETIRED.ANY_DSB_MISS, 0x1c6
FRONTEND_RETIRED.DSB_MISS, 0x1c6
FRONTEND_RETIRED.ITLB_MISS, 0x1c6
FRONTEND_RETIRED.L1I_MISS, 0x1c6
FRONTEND_RETIRED.L2_MISS, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_1, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_128, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_16, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_2, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_256, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_2_BUBBLES_GE_1, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_32, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_4, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_512, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_64, 0x1c6
FRONTEND_RETIRED.LATENCY_GE_8, 0x1c6
FRONTEND_RETIRED.MS_FLOWS, 0x1c6
FRONTEND_RETIRED.STLB_MISS, 0x1c6
FRONTEND_RETIRED.UNKNOWN_BRANCH, 0x1c6
ICACHE.ACCESSES, 0x380
ICACHE.MISSES, 0x280
ICACHE_DATA.STALLS, 0x480
ICACHE_DATA.STALL_PERIODS, 0x480
ICACHE_TAG.STALLS, 0x483
IDQ.DSB_CYCLES_ANY, 0x879
IDQ.DSB_CYCLES_OK, 0x879
IDQ.DSB_UOPS, 0x879
IDQ.MITE_CYCLES_ANY, 0x479
IDQ.MITE_CYCLES_OK, 0x479
IDQ.MITE_UOPS, 0x479
IDQ.MS_CYCLES_ANY, 0x2079
IDQ.MS_SWITCHES, 0x2079
