ld_head.any_at_ret, 0xff05
ld_head.l1_bound_at_ret, 0xf405
ld_head.l1_miss_at_ret, 0x8105
ld_head.other_at_ret, 0xc005
ld_head.pgwalk_at_ret, 0xa005
ld_head.st_addr_at_ret, 0x8405
machine_clears.memory_ordering, 0x2c3
ocr.demand_code_rd.dram, 0x1b7, 0x784000004
ocr.demand_code_rd.l3_miss, 0x1b7, 0x3f84400004
ocr.demand_data_rd.dram, 0x1b7, 0x784000001
ocr.demand_data_rd.l3_miss, 0x1b7, 0x3f84400001
ocr.demand_data_rd.l3_miss_local, 0x1b7, 0x3f84400001
ocr.demand_rfo.dram, 0x1b7, 0x784000002
ocr.demand_rfo.l3_miss, 0x1b7, 0x3f84400002
ocr.demand_rfo.l3_miss_local, 0x1b7, 0x3f84400002
ocr.swpf_rd.dram, 0x1b7, 0x784004000
ocr.swpf_rd.l3_miss, 0x1b7, 0x3f84404000
dtlb_load_misses.walk_completed, 0xe08
dtlb_store_misses.walk_completed, 0xe49
itlb_misses.miss_caused_walk, 0x185
itlb_misses.pde_cache_miss, 0x8085
itlb_misses.walk_completed, 0xe85
ld_head.dtlb_miss_at_ret, 0x9005
mem_uops_retired.dtlb_miss, 0x13d0
mem_uops_retired.dtlb_miss_loads, 0x11d0
mem_uops_retired.dtlb_miss_stores, 0x12d0
unc_clock.socket, 0xff
arith.fpdiv_active, 0x2cd
arith.fpdiv_uops, 0x8cd
machine_clears.fp_assist, 0x4c3
uops_retired.fpdiv, 0x8c2
lbr_inserts.any, 0x1e4
ocr.full_streaming_wr.any_response, 0x1b7, 0x800000010000
ocr.partial_streaming_wr.any_response, 0x1b7, 0x400000010000
ocr.streaming_wr.any_response, 0x1b7, 0x10800
baclears.any, 0x1e6
icache.accesses, 0x380
icache.misses, 0x280
unc_arb_coh_trk_requests.all, 0x184
unc_arb_dat_occupancy.all, 0x185
unc_arb_dat_occupancy.rd, 0x285
unc_arb_dat_requests.rd, 0x281
unc_arb_ifa_occupancy.all, 0x185
unc_arb_req_trk_occupancy.drd, 0x280
unc_arb_req_trk_request.drd, 0x281
unc_arb_trk_occupancy.all, 0x180
unc_arb_trk_occupancy.rd, 0x280
unc_arb_trk_requests.all, 0x181
unc_arb_trk_requests.rd, 0x281
arith.div_active, 0x3cd
arith.div_occupancy, 0x3cd
arith.div_uops, 0xccd
arith.idiv_active, 0x1cd
arith.idiv_occupancy, 0x1cd
arith.idiv_uops, 0x4cd
br_inst_retired.all_branches, 0xc4
br_inst_retired.call, 0xf9c4
br_inst_retired.cond, 0x7ec4
br_inst_retired.cond_taken, 0xfec4
br_inst_retired.far_branch, 0xbfc4
br_inst_retired.indirect, 0xebc4
br_inst_retired.indirect_call, 0xfbc4
br_inst_retired.ind_call, 0xfbc4
br_inst_retired.jcc, 0x7ec4
br_inst_retired.near_call, 0xf9c4
br_inst_retired.near_return, 0xf7c4
br_inst_retired.near_taken, 0xc0c4
br_inst_retired.non_return_ind, 0xebc4
br_inst_retired.rel_call, 0xfdc4
br_inst_retired.return, 0xf7c4
br_inst_retired.taken_jcc, 0xfec4
br_misp_retired.all_branches, 0xc5
br_misp_retired.cond, 0x7ec5
br_misp_retired.cond_taken, 0xfec5
br_misp_retired.indirect, 0xebc5
br_misp_retired.indirect_call, 0xfbc5
br_misp_retired.ind_call, 0xfbc5
br_misp_retired.jcc, 0x7ec5
br_misp_retired.near_taken, 0x80c5
br_misp_retired.non_return_ind, 0xebc5
br_misp_retired.return, 0xf7c5
br_misp_retired.taken_jcc, 0xfec5
cpu_clk_unhalted.core_p, 0x3c
cpu_clk_unhalted.ref, 0x13c
cpu_clk_unhalted.ref_tsc_p, 0x13c
cpu_clk_unhalted.thread_p, 0x3c
inst_retired.any_p, 0xc0
ld_blocks.4k_alias, 0x403
ld_blocks.address_alias, 0x403
ld_blocks.data_unknown, 0x103
machine_clears.disambiguation, 0x8c3
machine_clears.mrn_nuke, 0x80c3
machine_clears.page_fault, 0x20c3
machine_clears.slow, 0x6fc3
machine_clears.smc, 0x1c3
misc_retired.lbr_inserts, 0x1e4
serialization.c01_ms_scb, 0x475
serialization.non_c01_ms_scb, 0x275
topdown_bad_speculation.all, 0x73
topdown_bad_speculation.fastnuke, 0x273
topdown_bad_speculation.machine_clears, 0x373
topdown_bad_speculation.mispredict, 0x473
topdown_bad_speculation.nuke, 0x173
topdown_be_bound.all, 0x74
topdown_be_bound.alloc_restrictions, 0x174
topdown_be_bound.mem_scheduler, 0x274
topdown_be_bound.non_mem_scheduler, 0x874
topdown_be_bound.register, 0x2074
topdown_be_bound.reorder_buffer, 0x4074
topdown_be_bound.serialization, 0x1074
topdown_fe_bound.all, 0x71
topdown_fe_bound.branch_detect, 0x271
topdown_fe_bound.branch_resteer, 0x4071
topdown_fe_bound.cisc, 0x171
topdown_fe_bound.decode, 0x871
topdown_fe_bound.frontend_bandwidth, 0x8d71
topdown_fe_bound.frontend_latency, 0x7271
topdown_fe_bound.itlb, 0x1071
topdown_fe_bound.other, 0x8071
topdown_fe_bound.predecode, 0x471
topdown_retiring.all, 0xc2
uops_issued.any, 0xe
uops_retired.all, 0xc2
uops_retired.idiv, 0x10c2
uops_retired.ms, 0x1c2
uops_retired.x87, 0x2c2
l2_request.all, 0x24
l2_request.hit, 0x224
l2_request.miss, 0x124
longest_lat_cache.miss, 0x412e
longest_lat_cache.reference, 0x4f2e
mem_bound_stalls.ifetch, 0x3834
mem_bound_stalls.ifetch_dram_hit, 0x2034
mem_bound_stalls.ifetch_l2_hit, 0x834
mem_bound_stalls.ifetch_llc_hit, 0x1034
mem_bound_stalls.load, 0x734
mem_bound_stalls.load_dram_hit, 0x434
mem_bound_stalls.load_l2_hit, 0x134
mem_bound_stalls.load_llc_hit, 0x234
mem_load_uops_retired.dram_hit, 0x80d1
mem_load_uops_retired.hitm, 0x20d1
mem_load_uops_retired.l1_hit, 0x1d1
mem_load_uops_retired.l1_miss, 0x8d1
mem_load_uops_retired.l2_hit, 0x2d1
mem_load_uops_retired.l2_miss, 0x10d1
mem_load_uops_retired.l3_hit, 0x4d1
mem_load_uops_retired_misc.hit_e_f, 0x40d2
mem_load_uops_retired_misc.l3_miss, 0x20d2
mem_scheduler_block.all, 0x704
mem_scheduler_block.ld_buf, 0x204
mem_scheduler_block.rsv, 0x404
mem_scheduler_block.st_buf, 0x104
mem_uops_retired.all_loads, 0x81d0
mem_uops_retired.all_stores, 0x82d0
mem_uops_retired.load_latency_gt_128, 0x5d0, 0x80
mem_uops_retired.load_latency_gt_16, 0x5d0, 0x10
mem_uops_retired.load_latency_gt_256, 0x5d0, 0x100
mem_uops_retired.load_latency_gt_32, 0x5d0, 0x20
mem_uops_retired.load_latency_gt_4, 0x5d0, 0x4
mem_uops_retired.load_latency_gt_512, 0x5d0, 0x200
mem_uops_retired.load_latency_gt_64, 0x5d0, 0x40
mem_uops_retired.load_latency_gt_8, 0x5d0, 0x8
mem_uops_retired.lock_loads, 0x21d0
mem_uops_retired.split_loads, 0x41d0
mem_uops_retired.stlb_miss, 0x13d0
mem_uops_retired.stlb_miss_loads, 0x11d0
mem_uops_retired.stlb_miss_stores, 0x12d0
mem_uops_retired.store_latency, 0x6d0
ocr.corewb_m.any_response, 0x1b7, 0x10008
ocr.demand_code_rd.any_response, 0x1b7, 0x10004
ocr.demand_code_rd.l3_hit, 0x1b7, 0x1f803c0004
ocr.demand_code_rd.l3_hit.snoop_hitm, 0x1b7, 0x10003c0004
ocr.demand_code_rd.l3_hit.snoop_hit_no_fwd, 0x1b7, 0x4003c0004
ocr.demand_code_rd.l3_hit.snoop_hit_with_fwd, 0x1b7, 0x8003c0004
ocr.demand_data_rd.any_response, 0x1b7, 0x10001
ocr.demand_data_rd.l3_hit, 0x1b7, 0x1f803c0001
ocr.demand_data_rd.l3_hit.snoop_hitm, 0x1b7, 0x10003c0001
ocr.demand_data_rd.l3_hit.snoop_hit_no_fwd, 0x1b7, 0x4003c0001
ocr.demand_data_rd.l3_hit.snoop_hit_with_fwd, 0x1b7, 0x8003c0001
ocr.demand_rfo.any_response, 0x1b7, 0x10002
ocr.demand_rfo.l3_hit, 0x1b7, 0x1f803c0002
ocr.demand_rfo.l3_hit.snoop_hitm, 0x1b7, 0x10003c0002
ocr.demand_rfo.l3_hit.snoop_hit_no_fwd, 0x1b7, 0x4003c0002
ocr.demand_rfo.l3_hit.snoop_hit_with_fwd, 0x1b7, 0x8003c0002
ocr.swpf_rd.any_response, 0x1b7, 0x14000
ocr.swpf_rd.l3_hit, 0x1b7, 0x1f803c4000
ocr.swpf_rd.l3_hit.snoop_hitm, 0x1b7, 0x10003c4000
ocr.swpf_rd.l3_hit.snoop_hit_no_fwd, 0x1b7, 0x4003c4000
ocr.swpf_rd.l3_hit.snoop_hit_with_fwd, 0x1b7, 0x8003c4000
topdown_fe_bound.icache, 0x2071
unc_mc0_rdcas_count_freerun, 0x20ff
unc_mc0_wrcas_count_freerun, 0x30ff
unc_mc1_rdcas_count_freerun, 0x20ff
unc_mc1_wrcas_count_freerun, 0x30ff
unc_m_act_count_rd, 0x24
unc_m_act_count_total, 0x26
unc_m_act_count_wr, 0x25
unc_m_cas_count_rd, 0x22
unc_m_cas_count_wr, 0x23
unc_m_clockticks, 0x1
unc_m_dram_page_empty_rd, 0x1d
unc_m_dram_page_empty_wr, 0x20
unc_m_dram_page_hit_rd, 0x1c
unc_m_dram_page_hit_wr, 0x1f
unc_m_dram_page_miss_rd, 0x1e
unc_m_dram_page_miss_wr, 0x21
unc_m_dram_thermal_hot, 0x19
unc_m_dram_thermal_warm, 0x1a
unc_m_prefetch_rd, 0xa
unc_m_pre_count_idle, 0x28
unc_m_pre_count_page_miss, 0x27
unc_m_vc0_requests_rd, 0x2
unc_m_vc0_requests_wr, 0x3
unc_m_vc1_requests_rd, 0x4
unc_m_vc1_requests_wr, 0x5
