umc_mem_clk, 0x0
umc_act_cmd.all, 0x5
umc_act_cmd.rd, 0x5
umc_act_cmd.wr, 0x5
umc_pchg_cmd.all, 0x6
umc_pchg_cmd.rd, 0x6
umc_pchg_cmd.wr, 0x6
umc_cas_cmd.all, 0xa
umc_cas_cmd.rd, 0xa
umc_cas_cmd.wr, 0xa
umc_data_slot_clks.all, 0x14
umc_data_slot_clks.rd, 0x14
umc_data_slot_clks.wr, 0x14
de_op_queue_empty, 0xa9
de_src_op_disp.x86_decoder, 0x1aa
de_src_op_disp.op_cache, 0x2aa
de_src_op_disp.all, 0x7aa
de_dis_ops_from_decoder.any_fp_dispatch, 0x4ab
de_dis_ops_from_decoder.any_integer_dispatch, 0x8ab
de_dispatch_stall_cycle_dynamic_tokens_part1.int_phy_reg_file_rsrc_stall, 0x1ae
de_dispatch_stall_cycle_dynamic_tokens_part1.load_queue_rsrc_stall, 0x2ae
de_dispatch_stall_cycle_dynamic_tokens_part1.store_queue_rsrc_stall, 0x4ae
de_dispatch_stall_cycle_dynamic_tokens_part1.taken_brnch_buffer_rsrc, 0x10ae
de_dispatch_stall_cycle_dynamic_tokens_part1.fp_sch_rsrc_stall, 0x40ae
de_dispatch_stall_cycle_dynamic_tokens_part2.al_tokens, 0x1af
de_dispatch_stall_cycle_dynamic_tokens_part2.ag_tokens, 0x2af
de_dispatch_stall_cycle_dynamic_tokens_part2.ex_flush_recovery, 0x4af
de_dispatch_stall_cycle_dynamic_tokens_part2.retq, 0x20af
de_no_dispatch_per_slot.no_ops_from_frontend, 0x1a0
de_no_dispatch_per_slot.backend_stalls, 0x1fa0
de_no_dispatch_per_slot.smt_contention, 0x61a0
de_additional_resource_stalls.dispatch_stalls, 0x31a2
fp_ret_x87_fp_ops.add_sub_ops, 0x102
fp_ret_x87_fp_ops.mul_ops, 0x202
fp_ret_x87_fp_ops.div_sqrt_ops, 0x402
fp_ret_x87_fp_ops.all, 0x702
fp_ret_sse_avx_ops.add_sub_flops, 0x103
fp_ret_sse_avx_ops.mult_flops, 0x203
fp_ret_sse_avx_ops.div_flops, 0x403
fp_ret_sse_avx_ops.mac_flops, 0x803
fp_ret_sse_avx_ops.bfloat16_flops, 0x2003
fp_ret_sse_avx_ops.scalar_single_flops, 0x4003
fp_ret_sse_avx_ops.packed_single_flops, 0x6003
fp_ret_sse_avx_ops.scalar_double_flops, 0x8003
fp_ret_sse_avx_ops.packed_double_flops, 0xa003
fp_ret_sse_avx_ops.all, 0xf03
fp_ops_retired_by_width.x87_uops_retired, 0x108
fp_ops_retired_by_width.mmx_uops_retired, 0x208
fp_ops_retired_by_width.scalar_uops_retired, 0x408
fp_ops_retired_by_width.pack_128_uops_retired, 0x808
fp_ops_retired_by_width.pack_256_uops_retired, 0x1008
fp_ops_retired_by_width.pack_512_uops_retired, 0x2008
fp_ops_retired_by_width.all, 0x3f08
fp_ops_retired_by_type.scalar_add, 0x10a
fp_ops_retired_by_type.scalar_sub, 0x20a
fp_ops_retired_by_type.scalar_mul, 0x30a
fp_ops_retired_by_type.scalar_mac, 0x40a
fp_ops_retired_by_type.scalar_div, 0x50a
fp_ops_retired_by_type.scalar_sqrt, 0x60a
fp_ops_retired_by_type.scalar_cmp, 0x70a
fp_ops_retired_by_type.scalar_cvt, 0x80a
fp_ops_retired_by_type.scalar_blend, 0x90a
fp_ops_retired_by_type.scalar_other, 0xe0a
fp_ops_retired_by_type.scalar_all, 0xf0a
fp_ops_retired_by_type.vector_add, 0x100a
fp_ops_retired_by_type.vector_sub, 0x200a
fp_ops_retired_by_type.vector_mul, 0x300a
fp_ops_retired_by_type.vector_mac, 0x400a
fp_ops_retired_by_type.vector_div, 0x500a
fp_ops_retired_by_type.vector_sqrt, 0x600a
fp_ops_retired_by_type.vector_cmp, 0x700a
fp_ops_retired_by_type.vector_cvt, 0x800a
fp_ops_retired_by_type.vector_blend, 0x900a
fp_ops_retired_by_type.vector_shuffle, 0xb00a
fp_ops_retired_by_type.vector_logical, 0xd00a
fp_ops_retired_by_type.vector_other, 0xe00a
fp_ops_retired_by_type.vector_all, 0xf00a
fp_ops_retired_by_type.all, 0xff0a
sse_avx_ops_retired.mmx_add, 0x10b
sse_avx_ops_retired.mmx_sub, 0x20b
sse_avx_ops_retired.mmx_mul, 0x30b
sse_avx_ops_retired.mmx_mac, 0x40b
sse_avx_ops_retired.mmx_cmp, 0x70b
sse_avx_ops_retired.mmx_shift, 0x90b
sse_avx_ops_retired.mmx_mov, 0xa0b
sse_avx_ops_retired.mmx_shuffle, 0xb0b
sse_avx_ops_retired.mmx_pack, 0xc0b
sse_avx_ops_retired.mmx_logical, 0xd0b
sse_avx_ops_retired.mmx_other, 0xe0b
sse_avx_ops_retired.mmx_all, 0xf0b
sse_avx_ops_retired.sse_avx_add, 0x100b
sse_avx_ops_retired.sse_avx_sub, 0x200b
sse_avx_ops_retired.sse_avx_mul, 0x300b
sse_avx_ops_retired.sse_avx_mac, 0x400b
sse_avx_ops_retired.sse_avx_aes, 0x500b
sse_avx_ops_retired.sse_avx_sha, 0x600b
sse_avx_ops_retired.sse_avx_cmp, 0x700b
sse_avx_ops_retired.sse_avx_clm, 0x800b
sse_avx_ops_retired.sse_avx_shift, 0x900b
sse_avx_ops_retired.sse_avx_mov, 0xa00b
sse_avx_ops_retired.sse_avx_shuffle, 0xb00b
sse_avx_ops_retired.sse_avx_pack, 0xc00b
sse_avx_ops_retired.sse_avx_logical, 0xd00b
sse_avx_ops_retired.sse_avx_other, 0xe00b
sse_avx_ops_retired.sse_avx_all, 0xf00b
sse_avx_ops_retired.all, 0xff0b
fp_pack_ops_retired.fp128_add, 0x10c
fp_pack_ops_retired.fp128_sub, 0x20c
fp_pack_ops_retired.fp128_mul, 0x30c
fp_pack_ops_retired.fp128_mac, 0x40c
fp_pack_ops_retired.fp128_div, 0x50c
fp_pack_ops_retired.fp128_sqrt, 0x60c
fp_pack_ops_retired.fp128_cmp, 0x70c
fp_pack_ops_retired.fp128_cvt, 0x80c
fp_pack_ops_retired.fp128_blend, 0x90c
fp_pack_ops_retired.fp128_shuffle, 0xb0c
fp_pack_ops_retired.fp128_logical, 0xd0c
fp_pack_ops_retired.fp128_other, 0xe0c
fp_pack_ops_retired.fp128_all, 0xf0c
fp_pack_ops_retired.fp256_add, 0x100c
fp_pack_ops_retired.fp256_sub, 0x200c
fp_pack_ops_retired.fp256_mul, 0x300c
fp_pack_ops_retired.fp256_mac, 0x400c
fp_pack_ops_retired.fp256_div, 0x500c
fp_pack_ops_retired.fp256_sqrt, 0x600c
fp_pack_ops_retired.fp256_cmp, 0x700c
fp_pack_ops_retired.fp256_cvt, 0x800c
fp_pack_ops_retired.fp256_blend, 0x900c
fp_pack_ops_retired.fp256_shuffle, 0xb00c
fp_pack_ops_retired.fp256_logical, 0xd00c
fp_pack_ops_retired.fp256_other, 0xe00c
fp_pack_ops_retired.fp256_all, 0xf00c
fp_pack_ops_retired.all, 0xff0c
packed_int_op_type.int128_add, 0x10d
packed_int_op_type.int128_sub, 0x20d
packed_int_op_type.int128_mul, 0x30d
packed_int_op_type.int128_mac, 0x40d
packed_int_op_type.int128_aes, 0x50d
packed_int_op_type.int128_sha, 0x60d
packed_int_op_type.int128_cmp, 0x70d
packed_int_op_type.int128_clm, 0x80d
packed_int_op_type.int128_shift, 0x90d
packed_int_op_type.int128_mov, 0xa0d
packed_int_op_type.int128_shuffle, 0xb0d
packed_int_op_type.int128_pack, 0xc0d
packed_int_op_type.int128_logical, 0xd0d
packed_int_op_type.int128_other, 0xe0d
packed_int_op_type.int128_all, 0xf0d
packed_int_op_type.int256_add, 0x100d
packed_int_op_type.int256_sub, 0x200d
packed_int_op_type.int256_mul, 0x300d
packed_int_op_type.int256_mac, 0x400d
packed_int_op_type.int256_cmp, 0x700d
packed_int_op_type.int256_shift, 0x900d
packed_int_op_type.int256_mov, 0xa00d
packed_int_op_type.int256_shuffle, 0xb00d
packed_int_op_type.int256_pack, 0xc00d
packed_int_op_type.int256_logical, 0xd00d
packed_int_op_type.int256_other, 0xe00d
packed_int_op_type.int256_all, 0xf00d
packed_int_op_type.all, 0xff0d
fp_disp_faults.x87_fill_fault, 0x10e
fp_disp_faults.xmm_fill_fault, 0x20e
