misalign_mem_ref.bubble, 0x9705
misalign_mem_ref.ld_bubble, 0x9105
misalign_mem_ref.ld_split, 0x905
misalign_mem_ref.ld_split.ar, 0x8905
misalign_mem_ref.rmw_bubble, 0x9405
misalign_mem_ref.rmw_split, 0x8c05
misalign_mem_ref.split, 0xf05
misalign_mem_ref.split.ar, 0x8f05
misalign_mem_ref.st_bubble, 0x9205
misalign_mem_ref.st_split, 0xa05
misalign_mem_ref.st_split.ar, 0x8a05
prefetch.hw_prefetch, 0x1007
prefetch.prefetchnta, 0x8807
prefetch.prefetcht0, 0x8107
prefetch.prefetcht1, 0x8207
prefetch.prefetcht2, 0x8407
prefetch.software_prefetch, 0xf07
prefetch.software_prefetch.ar, 0x8f07
prefetch.sw_l2, 0x8607
data_tlb_misses.dtlb_miss, 0x708
data_tlb_misses.dtlb_miss_ld, 0x508
data_tlb_misses.dtlb_miss_st, 0x608
data_tlb_misses.l0_dtlb_miss_ld, 0x908
data_tlb_misses.l0_dtlb_miss_st, 0xa08
itlb.flush, 0x482
itlb.hit, 0x182
itlb.misses, 0x282
mem_load_retired.dtlb_miss, 0x4cb
page_walks.cycles, 0x30c
page_walks.d_side_cycles, 0x10c
page_walks.d_side_walks, 0x10c
page_walks.i_side_cycles, 0x20c
page_walks.i_side_walks, 0x20c
page_walks.walks, 0x30c
fp_assist.ar, 0x8111
fp_assist.s, 0x111
simd_assist, 0xcd
simd_comp_inst_retired.packed_single, 0x1ca
simd_comp_inst_retired.scalar_double, 0x8ca
simd_comp_inst_retired.scalar_single, 0x2ca
simd_instr_retired, 0xce
simd_inst_retired.packed_single, 0x1c7
simd_inst_retired.scalar_double, 0x8c7
simd_inst_retired.scalar_single, 0x2c7
simd_inst_retired.vector, 0x10c7
simd_sat_instr_retired, 0xcf
simd_sat_uop_exec.ar, 0x80b1
simd_sat_uop_exec.s, 0xb1
simd_uops_exec.ar, 0x80b0
simd_uops_exec.s, 0xb0
simd_uop_type_exec.arithmetic.ar, 0xa0b3
simd_uop_type_exec.arithmetic.s, 0x20b3
simd_uop_type_exec.logical.ar, 0x90b3
simd_uop_type_exec.logical.s, 0x10b3
simd_uop_type_exec.mul.ar, 0x81b3
simd_uop_type_exec.mul.s, 0x1b3
simd_uop_type_exec.pack.ar, 0x84b3
simd_uop_type_exec.pack.s, 0x4b3
simd_uop_type_exec.shift.ar, 0x82b3
simd_uop_type_exec.shift.s, 0x2b3
simd_uop_type_exec.unpack.ar, 0x88b3
simd_uop_type_exec.unpack.s, 0x8b3
x87_comp_ops_exe.any.ar, 0x8110
x87_comp_ops_exe.any.s, 0x110
x87_comp_ops_exe.fxch.ar, 0x8210
x87_comp_ops_exe.fxch.s, 0x210
busq_empty.self, 0x407d
bus_bnr_drv.all_agents, 0x2061
bus_bnr_drv.this_agent, 0x61
bus_data_rcv.self, 0x4064
bus_drdy_clocks.all_agents, 0x2062
bus_drdy_clocks.this_agent, 0x62
bus_hitm_drv.all_agents, 0x207b
bus_hitm_drv.this_agent, 0x7b
bus_hit_drv.all_agents, 0x207a
bus_hit_drv.this_agent, 0x7a
bus_io_wait.self, 0x407f
bus_lock_clocks.all_agents, 0xe063
bus_lock_clocks.self, 0x4063
bus_request_outstanding.all_agents, 0xe060
bus_request_outstanding.self, 0x4060
bus_trans_any.all_agents, 0xe070
bus_trans_any.self, 0x4070
bus_trans_brd.all_agents, 0xe065
bus_trans_brd.self, 0x4065
bus_trans_burst.all_agents, 0xe06e
bus_trans_burst.self, 0x406e
bus_trans_def.all_agents, 0xe06d
bus_trans_def.self, 0x406d
bus_trans_ifetch.all_agents, 0xe068
bus_trans_ifetch.self, 0x4068
bus_trans_inval.all_agents, 0xe069
bus_trans_inval.self, 0x4069
bus_trans_io.all_agents, 0xe06c
bus_trans_io.self, 0x406c
bus_trans_mem.all_agents, 0xe06f
bus_trans_mem.self, 0x406f
bus_trans_p.all_agents, 0xe06b
bus_trans_p.self, 0x406b
bus_trans_pwr.all_agents, 0xe06a
bus_trans_pwr.self, 0x406a
bus_trans_rfo.all_agents, 0xe066
bus_trans_rfo.self, 0x4066
bus_trans_wb.all_agents, 0xe067
bus_trans_wb.self, 0x4067
cycles_int_masked.cycles_int_masked, 0x1c6
cycles_int_masked.cycles_int_pending_and_masked, 0x2c6
eist_trans, 0x3a
ext_snoop.all_agents.any, 0x2b77
ext_snoop.all_agents.clean, 0x2177
ext_snoop.all_agents.hit, 0x2277
ext_snoop.all_agents.hitm, 0x2877
ext_snoop.this_agent.any, 0xb77
ext_snoop.this_agent.clean, 0x177
ext_snoop.this_agent.hit, 0x277
ext_snoop.this_agent.hitm, 0x877
hw_int_rcv, 0xc8
segment_reg_loads.any, 0x8006
snoop_stall_drv.all_agents, 0xe07e
snoop_stall_drv.self, 0x407e
thermal_trip, 0xc03b
baclears.any, 0x1e6
cycles_icache_mem_stalled.icache_mem_stalled, 0x186
decode_stall.iq_full, 0x287
decode_stall.pfb_empty, 0x187
icache.accesses, 0x380
icache.hit, 0x180
icache.misses, 0x280
macro_insts.all_decoded, 0x3aa
macro_insts.cisc_decoded, 0x2aa
macro_insts.non_cisc_decoded, 0x1aa
uops.ms_cycles, 0x1a9
bogus_br, 0x1e4
br_inst_decoded, 0x1e0
br_inst_retired.any, 0xc4
br_inst_retired.any1, 0xfc4
br_inst_retired.mispred, 0xc5
br_inst_retired.mispred_not_taken, 0x2c4
br_inst_retired.mispred_taken, 0x8c4
br_inst_retired.pred_not_taken, 0x1c4
br_inst_retired.pred_taken, 0x4c4
br_inst_retired.taken, 0xcc4
br_inst_type_retired.cond, 0x188
br_inst_type_retired.cond_taken, 0x4188
br_inst_type_retired.dir_call, 0x1088
br_inst_type_retired.ind, 0x488
br_inst_type_retired.ind_call, 0x2088
br_inst_type_retired.ret, 0x888
br_inst_type_retired.uncond, 0x288
br_missp_type_retired.cond, 0x189
br_missp_type_retired.cond_taken, 0x1189
br_missp_type_retired.ind, 0x289
br_missp_type_retired.ind_call, 0x889
br_missp_type_retired.return, 0x489
cpu_clk_unhalted.bus, 0x13c
cpu_clk_unhalted.core, 0xa
cpu_clk_unhalted.core_p, 0x3c
cpu_clk_unhalted.ref, 0xa
cycles_div_busy, 0x114
dispatch_blocked.any, 0x2009
div.ar, 0x8113
div.s, 0x113
inst_retired.any, 0xa
inst_retired.any_p, 0xc0
machine_clears.smc, 0x1c3
mul.ar, 0x8112
mul.s, 0x112
reissue.any, 0x7f03
reissue.any.ar, 0xff03
reissue.overlap_store, 0x103
reissue.overlap_store.ar, 0x8103
resource_stalls.div_busy, 0x2dc
store_forwards.any, 0x8302
store_forwards.good, 0x8102
uops_retired.any, 0x10c2
uops_retired.stalled_cycles, 0x10c2
uops_retired.stalls, 0x10c2
l1d_cache.all_cache_ref, 0xa340
l1d_cache.all_ref, 0x8340
l1d_cache.evict, 0x1040
l1d_cache.ld, 0xa140
l1d_cache.repl, 0x840
l1d_cache.replm, 0x4840
l1d_cache.st, 0xa240
l2_ads.self, 0x4021
l2_data_rqsts.self.e_state, 0x442c
l2_data_rqsts.self.i_state, 0x412c
l2_data_rqsts.self.mesi, 0x4f2c
l2_data_rqsts.self.m_state, 0x482c
l2_data_rqsts.self.s_state, 0x422c
l2_dbus_busy.self, 0x4022
l2_dbus_busy_rd.self, 0x4023
l2_ifetch.self.e_state, 0x4428
l2_ifetch.self.i_state, 0x4128
l2_ifetch.self.mesi, 0x4f28
l2_ifetch.self.m_state, 0x4828
l2_ifetch.self.s_state, 0x4228
l2_ld.self.any.e_state, 0x7429
l2_ld.self.any.i_state, 0x7129
l2_ld.self.any.mesi, 0x7f29
l2_ld.self.any.m_state, 0x7829
l2_ld.self.any.s_state, 0x7229
l2_ld.self.demand.e_state, 0x4429
l2_ld.self.demand.i_state, 0x4129
l2_ld.self.demand.mesi, 0x4f29
l2_ld.self.demand.m_state, 0x4829
l2_ld.self.demand.s_state, 0x4229
l2_ld.self.prefetch.e_state, 0x5429
l2_ld.self.prefetch.i_state, 0x5129
l2_ld.self.prefetch.mesi, 0x5f29
l2_ld.self.prefetch.m_state, 0x5829
l2_ld.self.prefetch.s_state, 0x5229
l2_ld_ifetch.self.e_state, 0x442d
l2_ld_ifetch.self.i_state, 0x412d
l2_ld_ifetch.self.mesi, 0x4f2d
l2_ld_ifetch.self.m_state, 0x482d
l2_ld_ifetch.self.s_state, 0x422d
l2_lines_in.self.any, 0x7024
l2_lines_in.self.demand, 0x4024
l2_lines_in.self.prefetch, 0x5024
l2_lines_out.self.any, 0x7026
l2_lines_out.self.demand, 0x4026
l2_lines_out.self.prefetch, 0x5026
l2_lock.self.e_state, 0x442b
l2_lock.self.i_state, 0x412b
l2_lock.self.mesi, 0x4f2b
l2_lock.self.m_state, 0x482b
l2_lock.self.s_state, 0x422b
l2_m_lines_in.self, 0x4025
l2_m_lines_out.self.any, 0x7027
l2_m_lines_out.self.demand, 0x4027
l2_m_lines_out.self.prefetch, 0x5027
l2_no_req.self, 0x4032
l2_reject_busq.self.any.e_state, 0x7430
l2_reject_busq.self.any.i_state, 0x7130
l2_reject_busq.self.any.mesi, 0x7f30
l2_reject_busq.self.any.m_state, 0x7830
l2_reject_busq.self.any.s_state, 0x7230
l2_reject_busq.self.demand.e_state, 0x4430
l2_reject_busq.self.demand.i_state, 0x4130
l2_reject_busq.self.demand.mesi, 0x4f30
l2_reject_busq.self.demand.m_state, 0x4830
l2_reject_busq.self.demand.s_state, 0x4230
l2_reject_busq.self.prefetch.e_state, 0x5430
l2_reject_busq.self.prefetch.i_state, 0x5130
l2_reject_busq.self.prefetch.mesi, 0x5f30
l2_reject_busq.self.prefetch.m_state, 0x5830
l2_reject_busq.self.prefetch.s_state, 0x5230
l2_rqsts.self.any.e_state, 0x742e
l2_rqsts.self.any.i_state, 0x712e
l2_rqsts.self.any.mesi, 0x7f2e
l2_rqsts.self.any.m_state, 0x782e
l2_rqsts.self.any.s_state, 0x722e
l2_rqsts.self.demand.e_state, 0x442e
l2_rqsts.self.demand.i_state, 0x412e
l2_rqsts.self.demand.mesi, 0x4f2e
l2_rqsts.self.demand.m_state, 0x482e
l2_rqsts.self.demand.s_state, 0x422e
l2_rqsts.self.prefetch.e_state, 0x542e
l2_rqsts.self.prefetch.i_state, 0x512e
l2_rqsts.self.prefetch.mesi, 0x5f2e
l2_rqsts.self.prefetch.m_state, 0x582e
l2_rqsts.self.prefetch.s_state, 0x522e
l2_st.self.e_state, 0x442a
l2_st.self.i_state, 0x412a
l2_st.self.mesi, 0x4f2a
l2_st.self.m_state, 0x482a
l2_st.self.s_state, 0x422a
mem_load_retired.l2_hit, 0x1cb
mem_load_retired.l2_miss, 0x2cb
