hle_retired.aborted, 0x4c8
hle_retired.aborted_misc1, 0x8c8
hle_retired.aborted_misc2, 0x10c8
hle_retired.aborted_misc3, 0x20c8
hle_retired.aborted_misc4, 0x40c8
hle_retired.aborted_misc5, 0x80c8
hle_retired.commit, 0x2c8
hle_retired.start, 0x1c8
machine_clears.memory_ordering, 0x2c3
mem_trans_retired.load_latency_gt_128, 0x1cd, 0x80
mem_trans_retired.load_latency_gt_16, 0x1cd, 0x10
mem_trans_retired.load_latency_gt_256, 0x1cd, 0x100
mem_trans_retired.load_latency_gt_32, 0x1cd, 0x20
mem_trans_retired.load_latency_gt_4, 0x1cd, 0x4
mem_trans_retired.load_latency_gt_512, 0x1cd, 0x200
mem_trans_retired.load_latency_gt_64, 0x1cd, 0x40
mem_trans_retired.load_latency_gt_8, 0x1cd, 0x8
misalign_mem_ref.loads, 0x105
misalign_mem_ref.stores, 0x205
offcore_response.all_code_rd.llc_miss.any_response_0, 0x1b7, 0x3fbfc00244
offcore_response.all_code_rd.llc_miss.any_response_1, 0x1bb, 0x3fbfc00244
offcore_response.all_code_rd.llc_miss.local_dram_0, 0x1b7, 0x604000244
offcore_response.all_code_rd.llc_miss.local_dram_1, 0x1bb, 0x604000244
offcore_response.all_data_rd.llc_miss.any_response_0, 0x1b7, 0x3fbfc00091
offcore_response.all_data_rd.llc_miss.any_response_1, 0x1bb, 0x3fbfc00091
offcore_response.all_data_rd.llc_miss.local_dram_0, 0x1b7, 0x604000091
offcore_response.all_data_rd.llc_miss.local_dram_1, 0x1bb, 0x604000091
offcore_response.all_data_rd.llc_miss.remote_dram_0, 0x1b7, 0x63bc00091
offcore_response.all_data_rd.llc_miss.remote_dram_1, 0x1bb, 0x63bc00091
offcore_response.all_data_rd.llc_miss.remote_hitm_0, 0x1b7, 0x103fc00091
offcore_response.all_data_rd.llc_miss.remote_hitm_1, 0x1bb, 0x103fc00091
offcore_response.all_data_rd.llc_miss.remote_hit_forward_0, 0x1b7, 0x87fc00091
offcore_response.all_data_rd.llc_miss.remote_hit_forward_1, 0x1bb, 0x87fc00091
offcore_response.all_reads.llc_miss.any_response_0, 0x1b7, 0x3fbfc007f7
offcore_response.all_reads.llc_miss.any_response_1, 0x1bb, 0x3fbfc007f7
offcore_response.all_reads.llc_miss.local_dram_0, 0x1b7, 0x6040007f7
offcore_response.all_reads.llc_miss.local_dram_1, 0x1bb, 0x6040007f7
offcore_response.all_reads.llc_miss.remote_dram_0, 0x1b7, 0x63bc007f7
offcore_response.all_reads.llc_miss.remote_dram_1, 0x1bb, 0x63bc007f7
offcore_response.all_reads.llc_miss.remote_hitm_0, 0x1b7, 0x103fc007f7
offcore_response.all_reads.llc_miss.remote_hitm_1, 0x1bb, 0x103fc007f7
offcore_response.all_reads.llc_miss.remote_hit_forward_0, 0x1b7, 0x87fc007f7
offcore_response.all_reads.llc_miss.remote_hit_forward_1, 0x1bb, 0x87fc007f7
offcore_response.all_requests.llc_miss.any_response_0, 0x1b7, 0x3fbfc08fff
offcore_response.all_requests.llc_miss.any_response_1, 0x1bb, 0x3fbfc08fff
offcore_response.all_rfo.llc_miss.any_response_0, 0x1b7, 0x3fbfc00122
offcore_response.all_rfo.llc_miss.any_response_1, 0x1bb, 0x3fbfc00122
offcore_response.all_rfo.llc_miss.local_dram_0, 0x1b7, 0x604000122
offcore_response.all_rfo.llc_miss.local_dram_1, 0x1bb, 0x604000122
