cycle_activity.cycles_l3_miss, 0x2a3
cycle_activity.stalls_l3_miss, 0x6a3
hle_retired.aborted, 0x4c8
hle_retired.aborted_events, 0x80c8
hle_retired.aborted_mem, 0x8c8
hle_retired.aborted_memtype, 0x40c8
hle_retired.aborted_timer, 0x10c8
hle_retired.aborted_unfriendly, 0x20c8
hle_retired.commit, 0x2c8
hle_retired.start, 0x1c8
machine_clears.memory_ordering, 0x2c3
mem_trans_retired.load_latency_gt_128, 0x1cd, 0x80
mem_trans_retired.load_latency_gt_16, 0x1cd, 0x10
mem_trans_retired.load_latency_gt_256, 0x1cd, 0x100
mem_trans_retired.load_latency_gt_32, 0x1cd, 0x20
mem_trans_retired.load_latency_gt_4, 0x1cd, 0x4
mem_trans_retired.load_latency_gt_512, 0x1cd, 0x200
mem_trans_retired.load_latency_gt_64, 0x1cd, 0x40
mem_trans_retired.load_latency_gt_8, 0x1cd, 0x8
ocr.all_data_rd.l3_miss.any_snoop_0, 0x1b7, 0x3fbc000491
ocr.all_data_rd.l3_miss.any_snoop_1, 0x1bb, 0x3fbc000491
ocr.all_data_rd.l3_miss.hitm_other_core_0, 0x1b7, 0x103c000491
ocr.all_data_rd.l3_miss.hitm_other_core_1, 0x1bb, 0x103c000491
ocr.all_data_rd.l3_miss.hit_other_core_fwd_0, 0x1b7, 0x83c000491
ocr.all_data_rd.l3_miss.hit_other_core_fwd_1, 0x1bb, 0x83c000491
ocr.all_data_rd.l3_miss.hit_other_core_no_fwd_0, 0x1b7, 0x43c000491
ocr.all_data_rd.l3_miss.hit_other_core_no_fwd_1, 0x1bb, 0x43c000491
ocr.all_data_rd.l3_miss.no_snoop_needed_0, 0x1b7, 0x13c000491
ocr.all_data_rd.l3_miss.no_snoop_needed_1, 0x1bb, 0x13c000491
ocr.all_data_rd.l3_miss.remote_hitm_0, 0x1b7, 0x103fc00491
ocr.all_data_rd.l3_miss.remote_hitm_1, 0x1bb, 0x103fc00491
ocr.all_data_rd.l3_miss.remote_hit_forward_0, 0x1b7, 0x83fc00491
ocr.all_data_rd.l3_miss.remote_hit_forward_1, 0x1bb, 0x83fc00491
ocr.all_data_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c000491
ocr.all_data_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c000491
ocr.all_data_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc000491
ocr.all_data_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc000491
ocr.all_data_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000491
ocr.all_data_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000491
ocr.all_data_rd.l3_miss_local_dram.hitm_other_core_0, 0x1b7, 0x1004000491
ocr.all_data_rd.l3_miss_local_dram.hitm_other_core_1, 0x1bb, 0x1004000491
ocr.all_data_rd.l3_miss_local_dram.hit_other_core_fwd_0, 0x1b7, 0x804000491
ocr.all_data_rd.l3_miss_local_dram.hit_other_core_fwd_1, 0x1bb, 0x804000491
ocr.all_data_rd.l3_miss_local_dram.hit_other_core_no_fwd_0, 0x1b7, 0x404000491
ocr.all_data_rd.l3_miss_local_dram.hit_other_core_no_fwd_1, 0x1bb, 0x404000491
ocr.all_data_rd.l3_miss_local_dram.no_snoop_needed_0, 0x1b7, 0x104000491
ocr.all_data_rd.l3_miss_local_dram.no_snoop_needed_1, 0x1bb, 0x104000491
ocr.all_data_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000491
ocr.all_data_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000491
ocr.all_data_rd.l3_miss_local_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x604000491
ocr.all_data_rd.l3_miss_local_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x604000491
ocr.all_data_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000491
ocr.all_data_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000491
ocr.all_data_rd.l3_miss_remote_dram.snoop_miss_or_no_fwd_0, 0x1b7, 0x63b800491
ocr.all_data_rd.l3_miss_remote_dram.snoop_miss_or_no_fwd_1, 0x1bb, 0x63b800491
ocr.all_data_rd.l3_miss_remote_hop1_dram.any_snoop_0, 0x1b7, 0x3f90000491
ocr.all_data_rd.l3_miss_remote_hop1_dram.any_snoop_1, 0x1bb, 0x3f90000491
ocr.all_data_rd.l3_miss_remote_hop1_dram.hitm_other_core_0, 0x1b7, 0x1010000491
ocr.all_data_rd.l3_miss_remote_hop1_dram.hitm_other_core_1, 0x1bb, 0x1010000491
ocr.all_data_rd.l3_miss_remote_hop1_dram.hit_other_core_fwd_0, 0x1b7, 0x810000491
ocr.all_data_rd.l3_miss_remote_hop1_dram.hit_other_core_fwd_1, 0x1bb, 0x810000491
ocr.all_data_rd.l3_miss_remote_hop1_dram.hit_other_core_no_fwd_0, 0x1b7, 0x410000491
