OCR.DEMAND_DATA_RD.L3_MISS, 0x1b7
OCR.DEMAND_RFO.L3_MISS, 0x1b7
DTLB_LOAD_MISSES.WALK_COMPLETED, 0xe08
DTLB_STORE_MISSES.WALK_COMPLETED, 0xe49
ITLB_MISSES.WALK_COMPLETED, 0xe85
ICACHE.ACCESSES, 0x380
ICACHE.MISSES, 0x280
BR_INST_RETIRED.ALL_BRANCHES, 0xc4
BR_MISP_RETIRED.ALL_BRANCHES, 0xc5
CPU_CLK_UNHALTED.CORE_P, 0x3c
CPU_CLK_UNHALTED.REF_TSC_P, 0x13c
CPU_CLK_UNHALTED.THREAD_P, 0x3c
INST_RETIRED.ANY_P, 0xc0
TOPDOWN_BE_BOUND.ALL, 0x2a4
TOPDOWN_BE_BOUND.ALL_P, 0x2a4
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
MEM_UOPS_RETIRED.ALL_LOADS, 0x81d0
MEM_UOPS_RETIRED.ALL_STORES, 0x82d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_1024, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_128, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_16, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_2048, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_256, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_32, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_512, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_64, 0x5d0
MEM_UOPS_RETIRED.LOAD_LATENCY_GT_8, 0x5d0
MEM_UOPS_RETIRED.STORE_LATENCY, 0x6d0
OCR.DEMAND_DATA_RD.ANY_RESPONSE, 0x1b7
OCR.DEMAND_RFO.ANY_RESPONSE, 0x1b7
