CPU-Pattern,micro-architecture
AuthenticAMD-23-([12][0-9A-F]|[0-9A-F]),amdzen1
AuthenticAMD-23-[0-9A-F]+,amdzen2
AuthenticAMD-25-([245][0-9A-F]|[0-9A-F]),amdzen3
AuthenticAMD-25-[0-9A-F]+,amdzen4
AuthenticAMD-26-[0-9A-F]+,amdzen5
GenuineIntel-6-(1C|26|27|35|36),bonnell
GenuineIntel-6-(37|4A|4C|4D|5A),silvermont
GenuineIntel-6-(3C|45|46),haswell
GenuineIntel-6-(3D|47),broadwell
GenuineIntel-6-(4E|5E|8E|9E|A5|A6),skylake
GenuineIntel-6-(57|85),knightslanding
GenuineIntel-6-(97|9A|B7|BA|BF),alderlake
GenuineIntel-6-(AA|AC|B5),meteorlake
GenuineIntel-6-1[AEF],nehalemep
GenuineIntel-6-25,westmereep-sp
GenuineIntel-6-2A,sandybridge
GenuineIntel-6-2C,westmereep-dp
GenuineIntel-6-2D,jaketown
GenuineIntel-6-2E,nehalemex
GenuineIntel-6-2F,westmereex
GenuineIntel-6-3A,ivybridge
GenuineIntel-6-3E,ivytown
GenuineIntel-6-3F,haswellx
GenuineIntel-6-4F,broadwellx
GenuineIntel-6-55-[01234],skylakex
GenuineIntel-6-55-[56789ABCDEF],cascadelakex
GenuineIntel-6-56,broadwellde
GenuineIntel-6-5[CF],goldmont
GenuineIntel-6-6[AC],icelakex
GenuineIntel-6-7A,goldmontplus
GenuineIntel-6-7[DE],icelake
GenuineIntel-6-86,snowridgex
GenuineIntel-6-8F,sapphirerapids
GenuineIntel-6-8[CD],tigerlake
GenuineIntel-6-9[6C],elkhartlake
GenuineIntel-6-A7,rocketlake
GenuineIntel-6-AF,sierraforest
GenuineIntel-6-A[DE],graniterapids
GenuineIntel-6-B6,grandridge
GenuineIntel-6-BD,lunarlake
GenuineIntel-6-BE,alderlaken
GenuineIntel-6-CF,emeraldrapids
GenuineIntel-6-C[56],arrowlake
GenuineIntel-6-DD,clearwaterforest
