MACHINE_CLEARS.MEMORY_ORDERING, 0x2c3
MISALIGN_MEM_REF.LOAD_PAGE_SPLIT, 0x213
MISALIGN_MEM_REF.STORE_PAGE_SPLIT, 0x413
ITLB.MISS, 0x481
MEM_UOPS_RETIRED.DTLB_MISS, 0x13d0
MEM_UOPS_RETIRED.DTLB_MISS_LOADS, 0x11d0
MEM_UOPS_RETIRED.DTLB_MISS_STORES, 0x12d0
PAGE_WALKS.CYCLES, 0x305
PAGE_WALKS.D_SIDE_CYCLES, 0x105
PAGE_WALKS.I_SIDE_CYCLES, 0x205
CYCLES_DIV_BUSY.FPDIV, 0x2cd
MACHINE_CLEARS.FP_ASSIST, 0x4c3
UOPS_RETIRED.FPDIV, 0x8c2
FETCH_STALL.ALL, 0x86
FETCH_STALL.ITLB_FILL_PENDING_CYCLES, 0x186
HW_INTERRUPTS.MASKED, 0x2cb
HW_INTERRUPTS.PENDING_AND_MASKED, 0x4cb
HW_INTERRUPTS.RECEIVED, 0x1cb
BACLEARS.ALL, 0x1e6
BACLEARS.COND, 0x10e6
BACLEARS.RETURN, 0x8e6
DECODE_RESTRICTION.PREDECODE_WRONG, 0x1e9
ICACHE.ACCESSES, 0x380
ICACHE.HIT, 0x180
ICACHE.MISSES, 0x280
MS_DECODED.MS_ENTRY, 0x1e7
BR_INST_RETIRED.ALL_BRANCHES, 0xc4
BR_INST_RETIRED.ALL_TAKEN_BRANCHES, 0x80c4
BR_INST_RETIRED.CALL, 0xf9c4
BR_INST_RETIRED.FAR_BRANCH, 0xbfc4
BR_INST_RETIRED.IND_CALL, 0xfbc4
BR_INST_RETIRED.JCC, 0x7ec4
BR_INST_RETIRED.NON_RETURN_IND, 0xebc4
BR_INST_RETIRED.REL_CALL, 0xfdc4
BR_INST_RETIRED.RETURN, 0xf7c4
BR_INST_RETIRED.TAKEN_JCC, 0xfec4
BR_MISP_RETIRED.ALL_BRANCHES, 0xc5
BR_MISP_RETIRED.IND_CALL, 0xfbc5
BR_MISP_RETIRED.JCC, 0x7ec5
BR_MISP_RETIRED.NON_RETURN_IND, 0xebc5
BR_MISP_RETIRED.RETURN, 0xf7c5
BR_MISP_RETIRED.TAKEN_JCC, 0xfec5
CPU_CLK_UNHALTED.CORE_P, 0x3c
CPU_CLK_UNHALTED.REF, 0x13c
CYCLES_DIV_BUSY.ALL, 0xcd
CYCLES_DIV_BUSY.IDIV, 0x1cd
INST_RETIRED.ANY_P, 0xc0
ISSUE_SLOTS_NOT_CONSUMED.ANY, 0xca
ISSUE_SLOTS_NOT_CONSUMED.RECOVERY, 0x2ca
ISSUE_SLOTS_NOT_CONSUMED.RESOURCE_FULL, 0x1ca
LD_BLOCKS.4K_ALIAS, 0x403
LD_BLOCKS.ALL_BLOCK, 0x1003
LD_BLOCKS.DATA_UNKNOWN, 0x103
LD_BLOCKS.STORE_FORWARD, 0x203
LD_BLOCKS.UTLB_MISS, 0x803
MACHINE_CLEARS.ALL, 0xc3
MACHINE_CLEARS.DISAMBIGUATION, 0x8c3
MACHINE_CLEARS.SMC, 0x1c3
UOPS_ISSUED.ANY, 0xe
UOPS_NOT_DELIVERED.ANY, 0x9c
UOPS_RETIRED.ANY, 0xc2
UOPS_RETIRED.IDIV, 0x10c2
UOPS_RETIRED.MS, 0x1c2
CORE_REJECT_L2Q.ALL, 0x31
DL1.DIRTY_EVICTION, 0x151
FETCH_STALL.ICACHE_FILL_PENDING_CYCLES, 0x286
L2_REJECT_XQ.ALL, 0x30
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
MEM_LOAD_UOPS_RETIRED.DRAM_HIT, 0x80d1
MEM_LOAD_UOPS_RETIRED.HITM, 0x20d1
MEM_LOAD_UOPS_RETIRED.L1_HIT, 0x1d1
MEM_LOAD_UOPS_RETIRED.L1_MISS, 0x8d1
MEM_LOAD_UOPS_RETIRED.L2_HIT, 0x2d1
MEM_LOAD_UOPS_RETIRED.L2_MISS, 0x10d1
MEM_LOAD_UOPS_RETIRED.WCB_HIT, 0x40d1
MEM_UOPS_RETIRED.ALL, 0x83d0
MEM_UOPS_RETIRED.ALL_LOADS, 0x81d0
MEM_UOPS_RETIRED.ALL_STORES, 0x82d0
MEM_UOPS_RETIRED.LOCK_LOADS, 0x21d0
MEM_UOPS_RETIRED.SPLIT, 0x43d0
MEM_UOPS_RETIRED.SPLIT_LOADS, 0x41d0
MEM_UOPS_RETIRED.SPLIT_STORES, 0x42d0
OFFCORE_RESPONSE, 0x1b7
OFFCORE_RESPONSE.ANY_DATA_RD.L2_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_DATA_RD.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.ANY_DATA_RD.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_DATA_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.ANY_DATA_RD.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED, 0x1b7
OFFCORE_RESPONSE.ANY_PF_DATA_RD.L2_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_PF_DATA_RD.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.ANY_PF_DATA_RD.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_PF_DATA_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.ANY_PF_DATA_RD.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED, 0x1b7
OFFCORE_RESPONSE.ANY_READ.L2_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_READ.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.ANY_READ.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_READ.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.ANY_READ.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.ANY_RESPONSE, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.L2_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.L2_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED, 0x1b7
OFFCORE_RESPONSE.BUS_LOCKS.ANY_RESPONSE, 0x1b7
OFFCORE_RESPONSE.COREWB.L2_HIT, 0x1b7
OFFCORE_RESPONSE.COREWB.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.COREWB.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.COREWB.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.COREWB.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED, 0x1b7
OFFCORE_RESPONSE.DEMAND_CODE_RD.L2_HIT, 0x1b7
OFFCORE_RESPONSE.DEMAND_CODE_RD.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.DEMAND_CODE_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.DEMAND_CODE_RD.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED, 0x1b7
OFFCORE_RESPONSE.DEMAND_CODE_RD.OUTSTANDING, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_HIT, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.OUTSTANDING, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.L2_HIT, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
