ld_head.any_at_ret, 0xff05
ld_head.l1_bound_at_ret, 0xf405
ld_head.l1_miss_at_ret, 0x8105
ld_head.other_at_ret, 0xc005
ld_head.pgwalk_at_ret, 0xa005
ld_head.st_addr_at_ret, 0x8405
machine_clears.memory_ordering, 0x2c3
misalign_mem_ref.load_page_split, 0x213
misalign_mem_ref.store_page_split, 0x413
ocr.demand_data_rd.l3_miss, 0x1b7, 0x3fbfc00001
ocr.demand_rfo.l3_miss, 0x1b7, 0x3fbfc00002
dtlb_load_misses.stlb_hit, 0x2008
dtlb_load_misses.walk_completed, 0xe08
dtlb_load_misses.walk_completed_2m_4m, 0x408
dtlb_load_misses.walk_completed_4k, 0x208
dtlb_load_misses.walk_pending, 0x1008
dtlb_store_misses.stlb_hit, 0x2049
dtlb_store_misses.walk_completed, 0xe49
dtlb_store_misses.walk_completed_2m_4m, 0x449
dtlb_store_misses.walk_completed_4k, 0x249
dtlb_store_misses.walk_pending, 0x1049
itlb_misses.miss_caused_walk, 0x185
itlb_misses.stlb_hit, 0x2085
itlb_misses.walk_completed, 0xe85
itlb_misses.walk_completed_2m_4m, 0x485
itlb_misses.walk_completed_4k, 0x285
itlb_misses.walk_pending, 0x1085
ld_head.dtlb_miss_at_ret, 0x9005
arith.fpdiv_active, 0x2cd
fp_flops_retired.all, 0x3c8
fp_flops_retired.dp, 0x1c8
fp_flops_retired.fp32, 0x2c8
fp_flops_retired.fp64, 0x1c8
fp_flops_retired.sp, 0x2c8
fp_inst_retired.128b_dp, 0x8c7
fp_inst_retired.128b_sp, 0x4c7
fp_inst_retired.256b_dp, 0x20c7
fp_inst_retired.32b_sp, 0x1c7
fp_inst_retired.64b_dp, 0x2c7
machine_clears.fp_assist, 0x4c3
uops_retired.fpdiv, 0x8c2
unc_p_clockticks, 0x1
unc_chacms_clockticks, 0x1
unc_chacms_ring_src_thrtl, 0x34
unc_cha_clockticks, 0x1
unc_cha_distress_asserted.dpt_any, 0x359
unc_cha_distress_asserted.dpt_irq, 0x159
unc_cha_distress_asserted.dpt_tor, 0x259
unc_cha_imc_writes_count.full, 0x15b
unc_cha_imc_writes_count.full_priority, 0x45b
unc_cha_imc_writes_count.partial, 0x25b
unc_cha_imc_writes_count.partial_priority, 0x85b
unc_cha_llc_lookup.code, 0x1bd0ff34
unc_cha_llc_lookup.data_rd, 0x1bc1ff34
unc_cha_llc_lookup.data_read_all, 0x1fc1ff34
unc_cha_llc_lookup.data_read_local, 0x841ff34
unc_cha_llc_lookup.data_read_miss, 0x1fc10134
unc_cha_llc_lookup.locally_homed_address, 0xbdfff34
unc_cha_llc_lookup.local_code, 0x19d0ff34
unc_cha_llc_lookup.local_data_rd, 0x19c1ff34
unc_cha_llc_lookup.local_dmnd_code, 0x1850ff34
unc_cha_llc_lookup.local_dmnd_data_rd, 0x1841ff34
unc_cha_llc_lookup.local_dmnd_rfo, 0x1848ff34
unc_cha_llc_lookup.local_llc_pf, 0x189dff34
unc_cha_llc_lookup.local_pf, 0x199dff34
unc_cha_llc_lookup.local_pf_code, 0x1910ff34
unc_cha_llc_lookup.local_pf_data_rd, 0x1981ff34
unc_cha_llc_lookup.local_pf_rfo, 0x1908ff34
unc_cha_llc_lookup.local_rfo, 0x19c8ff34
unc_cha_llc_lookup.rfo, 0x1bc8ff34
unc_cha_llc_lookup.rfo_local, 0x9c8ff34
unc_cha_llc_lookup.write_local, 0x842ff34
unc_cha_llc_victims.all, 0xf37
unc_cha_llc_victims.ia, 0x2037
unc_cha_llc_victims.io, 0x1037
unc_cha_llc_victims.local_all, 0x200f37
unc_cha_llc_victims.local_e, 0x200237
unc_cha_llc_victims.local_f, 0x200837
unc_cha_llc_victims.local_m, 0x200137
unc_cha_llc_victims.local_s, 0x200437
unc_cha_llc_victims.total_e, 0x237
unc_cha_llc_victims.total_m, 0x137
unc_cha_llc_victims.total_s, 0x437
unc_cha_misc.rfo_hit_s, 0x839
unc_cha_osb.local_invitoe, 0x155
unc_cha_osb.local_read, 0x255
unc_cha_osb.off_pwrheuristic, 0x2055
unc_cha_osb.rfo_hits_snp_bcast, 0x1055
unc_cha_requests.invitoe, 0x3050
unc_cha_requests.invitoe_local, 0x1050
unc_cha_requests.reads, 0x350
unc_cha_requests.reads_local, 0x150
unc_cha_requests.writes, 0xc50
unc_cha_requests.writes_local, 0x450
unc_cha_rxc_inserts.irq, 0x113
unc_cha_rxc_occupancy.irq, 0x111
unc_cha_tor_inserts.all, 0xc001ffff35
unc_cha_tor_inserts.ia, 0xc001ff0135
unc_cha_tor_inserts.ia_clflush, 0xc8c7ff0135
unc_cha_tor_inserts.ia_clflushopt, 0xc8d7ff0135
unc_cha_tor_inserts.ia_crd, 0xc80fff0135
unc_cha_tor_inserts.ia_crd_pref, 0xc88fff0135
unc_cha_tor_inserts.ia_drd_opt, 0xc827ff0135
unc_cha_tor_inserts.ia_drd_opt_pref, 0xc8a7ff0135
unc_cha_tor_inserts.ia_hit, 0xc001fd0135
unc_cha_tor_inserts.ia_hit_crd, 0xc80ffd0135
unc_cha_tor_inserts.ia_hit_crd_pref, 0xc88ffd0135
unc_cha_tor_inserts.ia_hit_drd_opt, 0xc827fd0135
unc_cha_tor_inserts.ia_hit_drd_opt_pref, 0xc8a7fd0135
unc_cha_tor_inserts.ia_hit_itom, 0xcc47fd0135
unc_cha_tor_inserts.ia_hit_llcprefcode, 0xcccffd0135
unc_cha_tor_inserts.ia_hit_llcprefdata, 0xccd7fd0135
unc_cha_tor_inserts.ia_hit_llcprefrfo, 0xccc7fd0135
unc_cha_tor_inserts.ia_hit_rfo, 0xc807fd0135
unc_cha_tor_inserts.ia_hit_rfo_pref, 0xc887fd0135
unc_cha_tor_inserts.ia_itom, 0xcc47ff0135
unc_cha_tor_inserts.ia_itomcachenear, 0xcd47ff0135
unc_cha_tor_inserts.ia_llcprefcode, 0xcccfff0135
unc_cha_tor_inserts.ia_llcprefdata, 0xccd7ff0135
unc_cha_tor_inserts.ia_llcprefrfo, 0xccc7ff0135
unc_cha_tor_inserts.ia_miss, 0xc001fe0135
unc_cha_tor_inserts.ia_miss_crd, 0xc80ffe0135
unc_cha_tor_inserts.ia_miss_crd_local, 0xc80efe0135
unc_cha_tor_inserts.ia_miss_crd_pref, 0xc88ffe0135
unc_cha_tor_inserts.ia_miss_crd_pref_local, 0xc88efe0135
unc_cha_tor_inserts.ia_miss_drd_opt, 0xc827fe0135
unc_cha_tor_inserts.ia_miss_drd_opt_local, 0xc826fe0135
unc_cha_tor_inserts.ia_miss_drd_opt_pref, 0xc8a7fe0135
unc_cha_tor_inserts.ia_miss_drd_opt_pref_local, 0xc8a6fe0135
unc_cha_tor_inserts.ia_miss_itom, 0xcc47fe0135
unc_cha_tor_inserts.ia_miss_llcprefcode, 0xcccffe0135
unc_cha_tor_inserts.ia_miss_llcprefdata, 0xccd7fe0135
unc_cha_tor_inserts.ia_miss_llcprefrfo, 0xccc7fe0135
unc_cha_tor_inserts.ia_miss_local_wcilf_ddr, 0xc866860135
unc_cha_tor_inserts.ia_miss_local_wcil_ddr, 0xc86e860135
unc_cha_tor_inserts.ia_miss_rfo, 0xc807fe0135
unc_cha_tor_inserts.ia_miss_rfo_local, 0xc806fe0135
unc_cha_tor_inserts.ia_miss_rfo_pref, 0xc887fe0135
unc_cha_tor_inserts.ia_miss_rfo_pref_local, 0xc886fe0135
unc_cha_tor_inserts.ia_miss_ucrdf, 0xc877de0135
unc_cha_tor_inserts.ia_miss_wcil, 0xc86ffe0135
unc_cha_tor_inserts.ia_miss_wcilf, 0xc867fe0135
unc_cha_tor_inserts.ia_miss_wcilf_ddr, 0xc867860135
unc_cha_tor_inserts.ia_miss_wcil_ddr, 0xc86f860135
unc_cha_tor_inserts.ia_miss_wil, 0xc87fde0135
unc_cha_tor_inserts.ia_rfo, 0xc807ff0135
unc_cha_tor_inserts.ia_rfo_pref, 0xc887ff0135
unc_cha_tor_inserts.ia_specitom, 0xcc57ff0135
unc_cha_tor_inserts.ia_wbeftoe, 0xcc3fff0135
unc_cha_tor_inserts.ia_wbeftoi, 0xcc37ff0135
unc_cha_tor_inserts.ia_wbmtoe, 0xcc2fff0135
unc_cha_tor_inserts.ia_wbmtoi, 0xcc27ff0135
unc_cha_tor_inserts.ia_wbstoi, 0xcc67ff0135
unc_cha_tor_inserts.ia_wcil, 0xc86fff0135
unc_cha_tor_inserts.ia_wcilf, 0xc867ff0135
unc_cha_tor_inserts.io, 0xc001ff0435
unc_cha_tor_inserts.io_clflush, 0xc8c3ff0435
unc_cha_tor_inserts.io_hit, 0xc001fd0435
unc_cha_tor_inserts.io_hit_itom, 0xcc43fd0435
unc_cha_tor_inserts.io_hit_itomcachenear, 0xcd43fd0435
unc_cha_tor_inserts.io_hit_pcirdcur, 0xc8f3fd0435
unc_cha_tor_inserts.io_hit_rfo, 0xc803fd0435
unc_cha_tor_inserts.io_itom, 0xcc43ff0435
unc_cha_tor_inserts.io_itomcachenear, 0xcd43ff0435
unc_cha_tor_inserts.io_miss, 0xc001fe0435
unc_cha_tor_inserts.io_miss_itom, 0xcc43fe0435
unc_cha_tor_inserts.io_miss_itomcachenear, 0xcd43fe0435
unc_cha_tor_inserts.io_miss_pcirdcur, 0xc8f3fe0435
unc_cha_tor_inserts.io_miss_rfo, 0xc803fe0435
unc_cha_tor_inserts.io_pcirdcur, 0xc8f3ff0435
unc_cha_tor_inserts.io_rfo, 0xc803ff0435
unc_cha_tor_inserts.io_wbmtoi, 0xcc23ff0435
unc_cha_tor_inserts.llc_or_sf_evictions, 0xc001ff0235
unc_cha_tor_inserts.loc_all, 0xc000ff0535
unc_cha_tor_inserts.loc_ia, 0xc000ff0135
unc_cha_tor_inserts.loc_io, 0xc000ff0435
unc_cha_tor_occupancy.all, 0xc001ffff36
unc_cha_tor_occupancy.ia, 0xc001ff0136
unc_cha_tor_occupancy.ia_clflush, 0xc8c7ff0136
unc_cha_tor_occupancy.ia_clflushopt, 0xc8d7ff0136
unc_cha_tor_occupancy.ia_crd, 0xc80fff0136
unc_cha_tor_occupancy.ia_crd_pref, 0xc88fff0136
unc_cha_tor_occupancy.ia_drd_opt, 0xc827ff0136
unc_cha_tor_occupancy.ia_drd_opt_pref, 0xc8a7ff0136
unc_cha_tor_occupancy.ia_hit, 0xc001fd0136
unc_cha_tor_occupancy.ia_hit_crd, 0xc80ffd0136
unc_cha_tor_occupancy.ia_hit_crd_pref, 0xc88ffd0136
unc_cha_tor_occupancy.ia_hit_drd_opt, 0xc827fd0136
unc_cha_tor_occupancy.ia_hit_drd_opt_pref, 0xc8a7fd0136
unc_cha_tor_occupancy.ia_hit_itom, 0xcc47fd0136
unc_cha_tor_occupancy.ia_hit_llcprefcode, 0xcccffd0136
unc_cha_tor_occupancy.ia_hit_llcprefdata, 0xccd7fd0136
unc_cha_tor_occupancy.ia_hit_llcprefrfo, 0xccc7fd0136
unc_cha_tor_occupancy.ia_hit_rfo, 0xc807fd0136
unc_cha_tor_occupancy.ia_hit_rfo_pref, 0xc887fd0136
unc_cha_tor_occupancy.ia_itom, 0xcc47ff0136
unc_cha_tor_occupancy.ia_itomcachenear, 0xcd47ff0136
unc_cha_tor_occupancy.ia_llcprefcode, 0xcccfff0136
unc_cha_tor_occupancy.ia_llcprefdata, 0xccd7ff0136
unc_cha_tor_occupancy.ia_llcprefrfo, 0xccc7ff0136
unc_cha_tor_occupancy.ia_miss, 0xc001fe0136
unc_cha_tor_occupancy.ia_miss_crd, 0xc80ffe0136
unc_cha_tor_occupancy.ia_miss_crd_local, 0xc80efe0136
unc_cha_tor_occupancy.ia_miss_crd_pref, 0xc88ffe0136
unc_cha_tor_occupancy.ia_miss_crd_pref_local, 0xc88efe0136
unc_cha_tor_occupancy.ia_miss_drd_opt, 0xc827fe0136
unc_cha_tor_occupancy.ia_miss_drd_opt_pref, 0xc8a7fe0136
unc_cha_tor_occupancy.ia_miss_itom, 0xcc47fe0136
unc_cha_tor_occupancy.ia_miss_llcprefcode, 0xcccffe0136
unc_cha_tor_occupancy.ia_miss_llcprefdata, 0xccd7fe0136
unc_cha_tor_occupancy.ia_miss_llcprefrfo, 0xccc7fe0136
unc_cha_tor_occupancy.ia_miss_local_wcilf_ddr, 0xc866860136
unc_cha_tor_occupancy.ia_miss_local_wcil_ddr, 0xc86e860136
unc_cha_tor_occupancy.ia_miss_rfo, 0xc807fe0136
unc_cha_tor_occupancy.ia_miss_rfo_local, 0xc806fe0136
unc_cha_tor_occupancy.ia_miss_rfo_pref, 0xc887fe0136
unc_cha_tor_occupancy.ia_miss_rfo_pref_local, 0xc886fe0136
unc_cha_tor_occupancy.ia_miss_ucrdf, 0xc877de0136
unc_cha_tor_occupancy.ia_miss_wcil, 0xc86ffe0136
unc_cha_tor_occupancy.ia_miss_wcilf, 0xc867fe0136
unc_cha_tor_occupancy.ia_miss_wcilf_ddr, 0xc867860136
unc_cha_tor_occupancy.ia_miss_wcil_ddr, 0xc86f860136
unc_cha_tor_occupancy.ia_miss_wil, 0xc87fde0136
unc_cha_tor_occupancy.ia_rfo, 0xc807ff0136
unc_cha_tor_occupancy.ia_rfo_pref, 0xc887ff0136
unc_cha_tor_occupancy.ia_specitom, 0xcc57ff0136
unc_cha_tor_occupancy.ia_wbmtoi, 0xcc27ff0136
unc_cha_tor_occupancy.ia_wcil, 0xc86fff0136
unc_cha_tor_occupancy.ia_wcilf, 0xc867ff0136
unc_cha_tor_occupancy.io, 0xc001ff0436
unc_cha_tor_occupancy.io_clflush, 0xc8c3ff0436
unc_cha_tor_occupancy.io_hit, 0xc001fd0436
unc_cha_tor_occupancy.io_hit_itom, 0xcc43fd0436
unc_cha_tor_occupancy.io_hit_itomcachenear, 0xcd43fd0436
unc_cha_tor_occupancy.io_hit_pcirdcur, 0xc8f3fd0436
unc_cha_tor_occupancy.io_hit_rfo, 0xc803fd0436
unc_cha_tor_occupancy.io_itom, 0xcc43ff0436
unc_cha_tor_occupancy.io_itomcachenear, 0xcd43ff0436
unc_cha_tor_occupancy.io_miss, 0xc001fe0436
unc_cha_tor_occupancy.io_miss_itom, 0xcc43fe0436
unc_cha_tor_occupancy.io_miss_itomcachenear, 0xcd43fe0436
unc_cha_tor_occupancy.io_miss_pcirdcur, 0xc8f3fe0436
unc_cha_tor_occupancy.io_miss_rfo, 0xc803fe0436
unc_cha_tor_occupancy.io_pcirdcur, 0xc8f3ff0436
unc_cha_tor_occupancy.io_rfo, 0xc803ff0436
unc_cha_tor_occupancy.io_wbmtoi, 0xcc23ff0436
unc_cha_tor_occupancy.loc_all, 0xc000ff0536
unc_cha_tor_occupancy.loc_ia, 0xc000ff0136
unc_cha_tor_occupancy.loc_io, 0xc000ff0436
lbr_inserts.any, 0x1e4
ocr.streaming_wr.any_response, 0x1b7, 0x10800
baclears.any, 0x1e6
frontend_retired.itlb_miss, 0x10c6
icache.accesses, 0x380
icache.misses, 0x280
ms_decoded.ms_busy, 0x4e7
unc_b2cmi_clockticks, 0x1
unc_b2cmi_direct2core_taken, 0x116
unc_b2cmi_direct2core_txn_override, 0x118
unc_b2cmi_imc_reads.all, 0x10424
unc_b2cmi_imc_reads.normal, 0x10124
unc_b2cmi_imc_reads.to_ddr_as_mem, 0x10824
unc_b2cmi_imc_writes.all, 0x11025
unc_b2cmi_imc_writes.full, 0x10125
unc_b2cmi_imc_writes.partial, 0x10225
unc_b2cmi_imc_writes.to_ddr_as_mem, 0x12025
unc_b2cmi_prefcam_inserts.ch0_xpt, 0x156
unc_b2cmi_prefcam_inserts.xpt_allch, 0x156
unc_b2cmi_prefcam_occupancy.ch0, 0x154
unc_b2cmi_tracker_inserts.ch0, 0x10432
unc_b2cmi_tracker_occupancy.ch0, 0x133
unc_b2cmi_wr_tracker_inserts.ch0, 0x140
unc_i_cache_total_occupancy.mem, 0x40f
unc_i_clockticks, 0x1
unc_i_faf_inserts, 0x18
unc_i_faf_occupancy, 0x19
unc_i_misc0.fast_rej, 0x21e
unc_i_misc0.fast_req, 0x11e
unc_i_misc1.lost_fwd, 0x101f
unc_i_snoop_resp.all_hit_es, 0x7412
unc_i_snoop_resp.all_hit_i, 0x7212
unc_i_snoop_resp.all_hit_m, 0x7812
unc_i_snoop_resp.all_miss, 0x7112
unc_i_transactions.wr_pref, 0x811
arith.div_active, 0x3cd
br_inst_retired.all_branches, 0xc4
br_inst_retired.cond, 0x7ec4
br_inst_retired.cond_taken, 0xfec4
br_inst_retired.far_branch, 0xbfc4
br_inst_retired.indirect, 0xebc4
br_inst_retired.indirect_call, 0xfbc4
br_inst_retired.indirect_jmp, 0xefc4
br_inst_retired.ind_call, 0xfbc4
br_inst_retired.near_call, 0xf9c4
br_inst_retired.near_return, 0xf7c4
br_inst_retired.near_taken, 0xc0c4
br_inst_retired.rel_call, 0xfdc4
br_inst_retired.rel_jmp, 0xdfc4
br_misp_retired.all_branches, 0xc5
br_misp_retired.cond, 0x7ec5
br_misp_retired.cond_taken, 0xfec5
br_misp_retired.indirect, 0xebc5
br_misp_retired.indirect_call, 0xfbc5
br_misp_retired.indirect_jmp, 0xefc5
br_misp_retired.near_taken, 0x80c5
br_misp_retired.return, 0xf7c5
cpu_clk_unhalted.core_p, 0x3c
cpu_clk_unhalted.ref_tsc_p, 0x13c
cpu_clk_unhalted.thread_p, 0x3c
inst_retired.any_p, 0xc0
ld_blocks.address_alias, 0x403
ld_blocks.data_unknown, 0x103
ld_blocks.store_forward, 0x203
machine_clears.disambiguation, 0x8c3
machine_clears.page_fault, 0x20c3
machine_clears.slow, 0x6fc3
machine_clears.smc, 0x1c3
misc_retired.lbr_inserts, 0x1e4
serialization.c01_ms_scb, 0x475
topdown_bad_speculation.all, 0x73
topdown_bad_speculation.all_p, 0x73
topdown_bad_speculation.fastnuke, 0x273
topdown_bad_speculation.machine_clears, 0x373
topdown_bad_speculation.mispredict, 0x473
topdown_bad_speculation.nuke, 0x173
topdown_be_bound.all, 0x74
topdown_be_bound.alloc_restrictions, 0x174
topdown_be_bound.all_p, 0x74
topdown_be_bound.mem_scheduler, 0x274
topdown_be_bound.non_mem_scheduler, 0x874
topdown_be_bound.register, 0x2074
topdown_be_bound.reorder_buffer, 0x4074
topdown_be_bound.serialization, 0x1074
topdown_fe_bound.all, 0x71
topdown_fe_bound.all_p, 0x71
topdown_fe_bound.branch_detect, 0x271
topdown_fe_bound.branch_resteer, 0x4071
topdown_fe_bound.cisc, 0x171
topdown_fe_bound.decode, 0x871
topdown_fe_bound.frontend_bandwidth, 0x8d71
topdown_fe_bound.frontend_latency, 0x7271
topdown_fe_bound.itlb, 0x1071
topdown_fe_bound.itlb_miss, 0x1071
