CYCLE_ACTIVITY.CYCLES_L3_MISS, 0x2a3
CYCLE_ACTIVITY.STALLS_L3_MISS, 0x6a3
MACHINE_CLEARS.MEMORY_ORDERING, 0x2c3
MEMORY_ACTIVITY.CYCLES_L1D_MISS, 0x247
MEMORY_ACTIVITY.STALLS_L1D_MISS, 0x347
MEMORY_ACTIVITY.STALLS_L2_MISS, 0x547
MEMORY_ACTIVITY.STALLS_L3_MISS, 0x947
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_1024, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_128, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_16, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_2048, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_256, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_32, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_512, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_64, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_8, 0x1cd
MEM_TRANS_RETIRED.STORE_SAMPLE, 0x2cd
OFFCORE_REQUESTS.L3_MISS_DEMAND_DATA_RD, 0x1021
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD, 0x1020
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD, 0x1020
RTM_RETIRED.ABORTED, 0x4c9
RTM_RETIRED.ABORTED_EVENTS, 0x80c9
RTM_RETIRED.ABORTED_MEM, 0x8c9
RTM_RETIRED.ABORTED_MEMTYPE, 0x40c9
RTM_RETIRED.ABORTED_UNFRIENDLY, 0x20c9
RTM_RETIRED.COMMIT, 0x2c9
RTM_RETIRED.START, 0x1c9
TX_MEM.ABORT_CAPACITY_READ, 0x8054
TX_MEM.ABORT_CAPACITY_WRITE, 0x254
TX_MEM.ABORT_CONFLICT, 0x154
DTLB_LOAD_MISSES.STLB_HIT, 0x2012
DTLB_LOAD_MISSES.WALK_ACTIVE, 0x1012
DTLB_LOAD_MISSES.WALK_COMPLETED, 0xe12
DTLB_LOAD_MISSES.WALK_COMPLETED_1G, 0x812
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M, 0x412
DTLB_LOAD_MISSES.WALK_COMPLETED_4K, 0x212
DTLB_LOAD_MISSES.WALK_PENDING, 0x1012
DTLB_STORE_MISSES.STLB_HIT, 0x2013
DTLB_STORE_MISSES.WALK_ACTIVE, 0x1013
DTLB_STORE_MISSES.WALK_COMPLETED, 0xe13
DTLB_STORE_MISSES.WALK_COMPLETED_1G, 0x813
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M, 0x413
DTLB_STORE_MISSES.WALK_COMPLETED_4K, 0x213
DTLB_STORE_MISSES.WALK_PENDING, 0x1013
ITLB_MISSES.STLB_HIT, 0x2011
ITLB_MISSES.WALK_ACTIVE, 0x1011
ITLB_MISSES.WALK_COMPLETED, 0xe11
ITLB_MISSES.WALK_COMPLETED_2M_4M, 0x411
ITLB_MISSES.WALK_COMPLETED_4K, 0x211
ITLB_MISSES.WALK_PENDING, 0x1011
ARITH.FPDIV_ACTIVE, 0x1b0
ASSISTS.FP, 0x2c1
ASSISTS.SSE_AVX_MIX, 0x10c1
FP_ARITH_DISPATCHED.PORT_0, 0x1b3
FP_ARITH_DISPATCHED.PORT_1, 0x2b3
FP_ARITH_DISPATCHED.PORT_5, 0x4b3
FP_ARITH_DISPATCHED.V0, 0x1b3
FP_ARITH_DISPATCHED.V1, 0x2b3
FP_ARITH_DISPATCHED.V2, 0x4b3
FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE, 0x4c7
FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE, 0x8c7
FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE, 0x10c7
FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE, 0x20c7
FP_ARITH_INST_RETIRED.4_FLOPS, 0x18c7
FP_ARITH_INST_RETIRED.512B_PACKED_DOUBLE, 0x40c7
FP_ARITH_INST_RETIRED.512B_PACKED_SINGLE, 0x80c7
FP_ARITH_INST_RETIRED.8_FLOPS, 0x60c7
FP_ARITH_INST_RETIRED.SCALAR, 0x3c7
FP_ARITH_INST_RETIRED.SCALAR_DOUBLE, 0x1c7
FP_ARITH_INST_RETIRED.SCALAR_SINGLE, 0x2c7
FP_ARITH_INST_RETIRED.VECTOR, 0xfcc7
FP_ARITH_INST_RETIRED2.128B_PACKED_HALF, 0x4cf
FP_ARITH_INST_RETIRED2.256B_PACKED_HALF, 0x8cf
FP_ARITH_INST_RETIRED2.512B_PACKED_HALF, 0x10cf
FP_ARITH_INST_RETIRED2.COMPLEX_SCALAR_HALF, 0x2cf
FP_ARITH_INST_RETIRED2.SCALAR, 0x3cf
FP_ARITH_INST_RETIRED2.SCALAR_HALF, 0x1cf
FP_ARITH_INST_RETIRED2.VECTOR, 0x1ccf
UNC_P_CLOCKTICKS, 0x1
UNC_P_FREQ_MAX_LIMIT_THERMAL_CYCLES, 0x4
UNC_P_FREQ_MAX_POWER_CYCLES, 0x5
UNC_P_FREQ_TRANS_CYCLES, 0x74
UNC_P_PKG_RESIDENCY_C2E_CYCLES, 0x2b
UNC_P_PKG_RESIDENCY_C6_CYCLES, 0x2d
UNC_P_POWER_STATE_OCCUPANCY_CORES_C0, 0x35
UNC_P_POWER_STATE_OCCUPANCY_CORES_C3, 0x36
UNC_P_POWER_STATE_OCCUPANCY_CORES_C6, 0x37
UNC_P_PROCHOT_EXTERNAL_CYCLES, 0xa
UNC_P_PROCHOT_INTERNAL_CYCLES, 0x9
UNC_CHACMS_CLOCKTICKS, 0x1
UNC_CHACMS_RING_SRC_THRTL, 0x34
UNC_CHA_CLOCKTICKS, 0x1
UNC_CHA_DIR_LOOKUP.NO_SNP, 0x253
UNC_CHA_DIR_LOOKUP.SNP, 0x153
UNC_CHA_DIR_UPDATE.HA, 0x154
UNC_CHA_DIR_UPDATE.TOR, 0x254
UNC_CHA_DISTRESS_ASSERTED.DPT_ANY, 0x359
UNC_CHA_DISTRESS_ASSERTED.DPT_IRQ, 0x159
UNC_CHA_DISTRESS_ASSERTED.DPT_TOR, 0x259
UNC_CHA_IMC_WRITES_COUNT.FULL, 0x15b
UNC_CHA_IMC_WRITES_COUNT.FULL_PRIORITY, 0x45b
UNC_CHA_IMC_WRITES_COUNT.PARTIAL, 0x25b
UNC_CHA_IMC_WRITES_COUNT.PARTIAL_PRIORITY, 0x85b
UNC_CHA_LLC_LOOKUP.ALL_REMOTE, 0x17e0ff34
UNC_CHA_LLC_LOOKUP.CODE, 0x1bd0ff34
UNC_CHA_LLC_LOOKUP.DATA_RD, 0x1bc1ff34
UNC_CHA_LLC_LOOKUP.DATA_READ_ALL, 0x1fc1ff34
UNC_CHA_LLC_LOOKUP.DATA_READ_LOCAL, 0x841ff34
UNC_CHA_LLC_LOOKUP.DATA_READ_MISS, 0x1fc10134
UNC_CHA_LLC_LOOKUP.LOCALLY_HOMED_ADDRESS, 0xbdfff34
UNC_CHA_LLC_LOOKUP.LOCAL_CODE, 0x19d0ff34
UNC_CHA_LLC_LOOKUP.LOCAL_DATA_RD, 0x19c1ff34
UNC_CHA_LLC_LOOKUP.LOCAL_DMND_CODE, 0x1850ff34
UNC_CHA_LLC_LOOKUP.LOCAL_DMND_DATA_RD, 0x1841ff34
UNC_CHA_LLC_LOOKUP.LOCAL_DMND_RFO, 0x1848ff34
UNC_CHA_LLC_LOOKUP.LOCAL_LLC_PF, 0x189dff34
UNC_CHA_LLC_LOOKUP.LOCAL_PF, 0x199dff34
UNC_CHA_LLC_LOOKUP.LOCAL_PF_CODE, 0x1910ff34
UNC_CHA_LLC_LOOKUP.LOCAL_PF_DATA_RD, 0x1981ff34
UNC_CHA_LLC_LOOKUP.LOCAL_PF_RFO, 0x1908ff34
UNC_CHA_LLC_LOOKUP.LOCAL_RFO, 0x19c8ff34
UNC_CHA_LLC_LOOKUP.REMOTELY_HOMED_ADDRESS, 0x15dfff34
UNC_CHA_LLC_LOOKUP.REMOTE_CODE, 0x1a10ff34
UNC_CHA_LLC_LOOKUP.REMOTE_DATA_RD, 0x1a01ff34
