CYCLE_ACTIVITY.STALLS_L3_MISS, 0x6a3
MACHINE_CLEARS.MEMORY_ORDERING, 0x2c3
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_128, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_16, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_256, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_32, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_512, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_64, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_8, 0x1cd
OFFCORE_REQUESTS.L3_MISS_DEMAND_DATA_RD, 0x10b0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD, 0x1060
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD, 0x1060
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6, 0x1060
RTM_RETIRED.ABORTED, 0x4c9
RTM_RETIRED.ABORTED_EVENTS, 0x80c9
RTM_RETIRED.ABORTED_MEM, 0x8c9
RTM_RETIRED.ABORTED_MEMTYPE, 0x40c9
RTM_RETIRED.ABORTED_UNFRIENDLY, 0x20c9
RTM_RETIRED.COMMIT, 0x2c9
RTM_RETIRED.START, 0x1c9
TX_EXEC.MISC2, 0x25d
TX_EXEC.MISC3, 0x45d
TX_MEM.ABORT_CAPACITY_READ, 0x8054
TX_MEM.ABORT_CAPACITY_WRITE, 0x254
TX_MEM.ABORT_CONFLICT, 0x154
DTLB_LOAD_MISSES.STLB_HIT, 0x2008
DTLB_LOAD_MISSES.WALK_ACTIVE, 0x1008
DTLB_LOAD_MISSES.WALK_COMPLETED, 0xe08
DTLB_LOAD_MISSES.WALK_COMPLETED_1G, 0x808
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M, 0x408
DTLB_LOAD_MISSES.WALK_COMPLETED_4K, 0x208
DTLB_LOAD_MISSES.WALK_PENDING, 0x1008
DTLB_STORE_MISSES.STLB_HIT, 0x2049
DTLB_STORE_MISSES.WALK_ACTIVE, 0x1049
DTLB_STORE_MISSES.WALK_COMPLETED, 0xe49
DTLB_STORE_MISSES.WALK_COMPLETED_1G, 0x849
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M, 0x449
DTLB_STORE_MISSES.WALK_COMPLETED_4K, 0x249
DTLB_STORE_MISSES.WALK_PENDING, 0x1049
ITLB_MISSES.STLB_HIT, 0x2085
