arith.divider_active, 0x914
arith.fp_divider_active, 0x114
assists.any, 0x7c1
assists.fp, 0x2c1
baclears.any, 0x1e6
br_inst_retired.all_branches, 0xc4
br_inst_retired.cond, 0x11c4
br_inst_retired.cond_ntaken, 0x10c4
br_inst_retired.cond_taken, 0x1c4
br_inst_retired.far_branch, 0x40c4
br_inst_retired.indirect, 0x80c4
br_inst_retired.near_call, 0x2c4
br_inst_retired.near_return, 0x8c4
br_inst_retired.near_taken, 0x20c4
br_misp_retired.all_branches, 0xc5
br_misp_retired.cond, 0x11c5
br_misp_retired.cond_ntaken, 0x10c5
br_misp_retired.cond_taken, 0x1c5
br_misp_retired.indirect, 0x80c5
br_misp_retired.indirect_call, 0x2c5
br_misp_retired.near_taken, 0x20c5
br_misp_retired.ret, 0x8c5
core_power.lvl0_turbo_license, 0x728
core_power.lvl1_turbo_license, 0x1828
core_power.lvl2_turbo_license, 0x2028
core_snoop_response.i_fwd_fe, 0x20ef
core_snoop_response.i_fwd_m, 0x10ef
core_snoop_response.i_hit_fse, 0x2ef
core_snoop_response.miss, 0x1ef
core_snoop_response.s_fwd_fe, 0x40ef
core_snoop_response.s_fwd_m, 0x8ef
core_snoop_response.s_hit_fse, 0x4ef
cpu_clk_unhalted.distributed, 0x2ec
cpu_clk_unhalted.one_thread_active, 0x23c
cpu_clk_unhalted.ref_distributed, 0x83c
cpu_clk_unhalted.ref_xclk, 0x13c
cpu_clk_unhalted.thread_p, 0x3c
cycle_activity.cycles_l1d_miss, 0x8a3
cycle_activity.cycles_l2_miss, 0x1a3
cycle_activity.cycles_mem_any, 0x10a3
cycle_activity.stalls_l1d_miss, 0xca3
cycle_activity.stalls_l2_miss, 0x5a3
cycle_activity.stalls_l3_miss, 0x6a3
cycle_activity.stalls_mem_any, 0x14a3
cycle_activity.stalls_total, 0x4a3
decode.lcp, 0x187
dsb2mite_switches.count, 0x2ab
dsb2mite_switches.penalty_cycles, 0x2ab
dtlb_load_misses.stlb_hit, 0x2008
dtlb_load_misses.walk_active, 0x1008
dtlb_load_misses.walk_completed, 0xe08
dtlb_load_misses.walk_completed_1g, 0x808
dtlb_load_misses.walk_completed_2m_4m, 0x408
dtlb_load_misses.walk_completed_4k, 0x208
dtlb_load_misses.walk_pending, 0x1008
dtlb_store_misses.stlb_hit, 0x2049
dtlb_store_misses.walk_active, 0x1049
dtlb_store_misses.walk_completed, 0xe49
dtlb_store_misses.walk_completed_1g, 0x849
dtlb_store_misses.walk_completed_2m_4m, 0x449
dtlb_store_misses.walk_completed_4k, 0x249
dtlb_store_misses.walk_pending, 0x1049
exe_activity.1_ports_util, 0x2a6
exe_activity.2_ports_util, 0x4a6
exe_activity.3_ports_util, 0x8a6
exe_activity.4_ports_util, 0x10a6
exe_activity.bound_on_stores, 0x40a6
fp_arith_inst_retired.128b_packed_double, 0x4c7
fp_arith_inst_retired.128b_packed_single, 0x8c7
fp_arith_inst_retired.256b_packed_double, 0x10c7
fp_arith_inst_retired.256b_packed_single, 0x20c7
fp_arith_inst_retired.4_flops, 0x18c7
fp_arith_inst_retired.512b_packed_double, 0x40c7
fp_arith_inst_retired.512b_packed_single, 0x80c7
fp_arith_inst_retired.8_flops, 0x60c7
fp_arith_inst_retired.scalar, 0x3c7
fp_arith_inst_retired.scalar_double, 0x1c7
fp_arith_inst_retired.scalar_single, 0x2c7
fp_arith_inst_retired.vector, 0xfcc7
frontend_retired.any_dsb_miss, 0x1c6, 0x1
frontend_retired.dsb_miss, 0x1c6, 0x11
frontend_retired.itlb_miss, 0x1c6, 0x14
frontend_retired.l1i_miss, 0x1c6, 0x12
frontend_retired.l2_miss, 0x1c6, 0x13
frontend_retired.latency_ge_1, 0x1c6, 0x500106
frontend_retired.latency_ge_128, 0x1c6, 0x508006
frontend_retired.latency_ge_16, 0x1c6, 0x501006
