arith.fpu_div, 0x414
arith.fpu_div_active, 0x114
baclears.any, 0x1fe6
br_inst_exec.all_branches, 0xff88
br_inst_exec.all_conditional, 0xc188
br_inst_exec.all_direct_jmp, 0xc288
br_inst_exec.all_direct_near_call, 0xd088
br_inst_exec.all_indirect_jump_non_call_ret, 0xc488
br_inst_exec.all_indirect_near_return, 0xc888
br_inst_exec.nontaken_conditional, 0x4188
br_inst_exec.taken_conditional, 0x8188
br_inst_exec.taken_direct_jump, 0x8288
br_inst_exec.taken_direct_near_call, 0x9088
br_inst_exec.taken_indirect_jump_non_call_ret, 0x8488
br_inst_exec.taken_indirect_near_call, 0xa088
br_inst_exec.taken_indirect_near_return, 0x8888
br_inst_retired.all_branches, 0xc4
br_inst_retired.all_branches_pebs, 0x4c4
br_inst_retired.conditional, 0x1c4
br_inst_retired.far_branch, 0x40c4
br_inst_retired.near_call, 0x2c4
br_inst_retired.near_call_r3, 0x2c4
br_inst_retired.near_return, 0x8c4
br_inst_retired.near_taken, 0x20c4
br_inst_retired.not_taken, 0x10c4
br_misp_exec.all_branches, 0xff89
br_misp_exec.all_conditional, 0xc189
br_misp_exec.all_indirect_jump_non_call_ret, 0xc489
br_misp_exec.indirect, 0xe489
br_misp_exec.nontaken_conditional, 0x4189
br_misp_exec.taken_conditional, 0x8189
br_misp_exec.taken_indirect_jump_non_call_ret, 0x8489
br_misp_exec.taken_indirect_near_call, 0xa089
br_misp_exec.taken_return_near, 0x8889
br_misp_retired.all_branches, 0xc5
br_misp_retired.all_branches_pebs, 0x4c5
br_misp_retired.conditional, 0x1c5
br_misp_retired.near_taken, 0x20c5
cpl_cycles.ring0, 0x15c
cpl_cycles.ring0_trans, 0x15c
cpl_cycles.ring123, 0x25c
cpu_clk_thread_unhalted.one_thread_active, 0x23c
cpu_clk_thread_unhalted.ref_xclk, 0x13c
cpu_clk_thread_unhalted.ref_xclk_any, 0x13c
cpu_clk_unhalted.one_thread_active, 0x23c
cpu_clk_unhalted.ref_xclk, 0x13c
cpu_clk_unhalted.ref_xclk_any, 0x13c
cpu_clk_unhalted.thread_p, 0x3c
cpu_clk_unhalted.thread_p_any, 0x3c
cycle_activity.cycles_l1d_miss, 0x8a3
cycle_activity.cycles_l1d_pending, 0x8a3
cycle_activity.cycles_l2_miss, 0x1a3
cycle_activity.cycles_l2_pending, 0x1a3
cycle_activity.cycles_ldm_pending, 0x2a3
cycle_activity.cycles_mem_any, 0x2a3
cycle_activity.cycles_no_execute, 0x4a3
cycle_activity.stalls_l1d_miss, 0xca3
cycle_activity.stalls_l1d_pending, 0xca3
cycle_activity.stalls_l2_miss, 0x5a3
cycle_activity.stalls_l2_pending, 0x5a3
cycle_activity.stalls_ldm_pending, 0x6a3
cycle_activity.stalls_mem_any, 0x6a3
cycle_activity.stalls_total, 0x4a3
dsb2mite_switches.count, 0x1ab
dsb2mite_switches.penalty_cycles, 0x2ab
dsb_fill.exceed_dsb_lines, 0x8ac
dtlb_load_misses.demand_ld_walk_completed, 0x8208
dtlb_load_misses.demand_ld_walk_duration, 0x8408
dtlb_load_misses.large_page_walk_completed, 0x8808
dtlb_load_misses.miss_causes_a_walk, 0x8108
dtlb_load_misses.stlb_hit, 0x45f
dtlb_load_misses.walk_completed, 0x8208
dtlb_load_misses.walk_duration, 0x8408
