arith.div_active, 0x3cd
arith.fpdiv_active, 0x2cd
arith.idiv_active, 0x8b0
assists.any, 0x1bc1
assists.fp, 0x2c1
assists.hardware, 0x4c1
assists.page_fault, 0x8c1
assists.sse_avx_mix, 0x10c1
baclears.any, 0x1e6
br_inst_retired.all_branches, 0xc4
br_inst_retired.cond, 0x7ec4
br_inst_retired.cond_ntaken, 0x10c4
br_inst_retired.cond_taken, 0xfec4
br_inst_retired.far_branch, 0xbfc4
br_inst_retired.ind_call, 0xfbc4
br_inst_retired.indirect, 0xebc4
br_inst_retired.indirect_call, 0xfbc4
br_inst_retired.indirect_jmp, 0xefc4
br_inst_retired.near_call, 0xf9c4
br_inst_retired.near_return, 0xf7c4
br_inst_retired.near_taken, 0xc0c4
br_inst_retired.rel_call, 0xfdc4
br_inst_retired.rel_jmp, 0xdfc4
br_misp_retired.all_branches, 0xc5
br_misp_retired.all_branches_cost, 0x44c5
br_misp_retired.cond, 0x7ec5
br_misp_retired.cond_cost, 0x51c5
br_misp_retired.cond_ntaken, 0x10c5
br_misp_retired.cond_ntaken_cost, 0x50c5
br_misp_retired.cond_taken, 0xfec5
br_misp_retired.cond_taken_cost, 0x41c5
br_misp_retired.indirect, 0xebc5
br_misp_retired.indirect_call, 0xfbc5
br_misp_retired.indirect_call_cost, 0x42c5
br_misp_retired.indirect_cost, 0xc0c5
br_misp_retired.indirect_jmp, 0xefc5
br_misp_retired.near_taken, 0x80c5
br_misp_retired.near_taken_cost, 0x60c5
br_misp_retired.ret, 0x8c5
br_misp_retired.ret_cost, 0x48c5
br_misp_retired.return, 0xf7c5
cpu_clk_unhalted.c01, 0x10ec
cpu_clk_unhalted.c02, 0x20ec
cpu_clk_unhalted.c0_wait, 0x70ec
cpu_clk_unhalted.core_p, 0x3c
cpu_clk_unhalted.distributed, 0x2ec
cpu_clk_unhalted.one_thread_active, 0x23c
cpu_clk_unhalted.pause, 0x40ec
cpu_clk_unhalted.pause_inst, 0x40ec
cpu_clk_unhalted.ref_distributed, 0x83c
cpu_clk_unhalted.ref_tsc_p, 0x13c
cpu_clk_unhalted.thread_p, 0x3c
cycle_activity.cycles_l1d_miss, 0x8a3
cycle_activity.cycles_l2_miss, 0x1a3
