arith.cycles_div_busy, 0x114
arith.div, 0x114
arith.mul, 0x214
baclear.bad_target, 0x2e6
baclear.clear, 0x1e6
baclear_force_iq, 0x1a7
bpu_clears.early, 0x1e8
bpu_clears.late, 0x2e8
bpu_missed_call_ret, 0x1e5
br_inst_decoded, 0x1e0
br_inst_exec.any, 0x7f88
br_inst_exec.cond, 0x188
br_inst_exec.direct, 0x288
br_inst_exec.direct_near_call, 0x1088
br_inst_exec.indirect_near_call, 0x2088
br_inst_exec.indirect_non_call, 0x488
br_inst_exec.near_calls, 0x3088
br_inst_exec.non_calls, 0x788
br_inst_exec.return_near, 0x888
br_inst_exec.taken, 0x4088
br_inst_retired.all_branches, 0x4c4
br_inst_retired.conditional, 0x1c4
br_inst_retired.near_call, 0x2c4
br_misp_exec.any, 0x7f89
br_misp_exec.cond, 0x189
br_misp_exec.direct, 0x289
br_misp_exec.direct_near_call, 0x1089
br_misp_exec.indirect_near_call, 0x2089
br_misp_exec.indirect_non_call, 0x489
br_misp_exec.near_calls, 0x3089
br_misp_exec.non_calls, 0x789
br_misp_exec.return_near, 0x889
br_misp_exec.taken, 0x4089
br_misp_retired.near_call, 0x2c5
cache_lock_cycles.l1d, 0x263
cache_lock_cycles.l1d_l2, 0x163
cpu_clk_unhalted.ref_p, 0x13c
cpu_clk_unhalted.thread_p, 0x3c
cpu_clk_unhalted.total_cycles, 0x3c
dtlb_load_misses.any, 0x108
dtlb_load_misses.pde_miss, 0x2008
dtlb_load_misses.stlb_hit, 0x1008
dtlb_load_misses.walk_completed, 0x208
dtlb_misses.any, 0x149
dtlb_misses.stlb_hit, 0x1049
dtlb_misses.walk_completed, 0x249
es_reg_renames, 0x1d5
fp_assist.all, 0x1f7
fp_assist.input, 0x4f7
fp_assist.output, 0x2f7
fp_comp_ops_exe.mmx, 0x210
fp_comp_ops_exe.sse2_integer, 0x810
fp_comp_ops_exe.sse_double_precision, 0x8010
fp_comp_ops_exe.sse_fp, 0x410
fp_comp_ops_exe.sse_fp_packed, 0x1010
fp_comp_ops_exe.sse_fp_scalar, 0x2010
fp_comp_ops_exe.sse_single_precision, 0x4010
fp_comp_ops_exe.x87, 0x110
fp_mmx_trans.any, 0x3cc
fp_mmx_trans.to_fp, 0x1cc
fp_mmx_trans.to_mmx, 0x2cc
ild_stall.any, 0xf87
ild_stall.iq_full, 0x487
ild_stall.lcp, 0x187
ild_stall.mru, 0x287
ild_stall.regen, 0x887
inst_decoded.dec0, 0x118
inst_queue_write_cycles, 0x11e
inst_queue_writes, 0x117
inst_retired.any_p, 0x1c0
inst_retired.mmx, 0x4c0
inst_retired.total_cycles, 0x1c0
inst_retired.total_cycles_ps, 0x1c0
inst_retired.x87, 0x2c0
io_transactions, 0x16c
itlb_flush, 0x1ae
itlb_miss_retired, 0x20c8
itlb_misses.any, 0x185
itlb_misses.walk_completed, 0x285
l1d.m_evict, 0x451
l1d.m_repl, 0x251
l1d.m_snoop_evict, 0x851
l1d.repl, 0x151
l1d_all_ref.any, 0x143
l1d_all_ref.cacheable, 0x243
l1d_cache_ld.e_state, 0x440
l1d_cache_ld.i_state, 0x140
l1d_cache_ld.m_state, 0x840
l1d_cache_ld.mesi, 0xf40
l1d_cache_ld.s_state, 0x240
