br_inst_retired.all_branches, 0xc4
br_misp_retired.all_branches, 0xc5
cpu_clk_unhalted.core_p, 0x3c
cpu_clk_unhalted.ref_tsc_p, 0x13c
cpu_clk_unhalted.thread_p, 0x3c
dtlb_load_misses.walk_completed, 0xe08
dtlb_store_misses.walk_completed, 0xe49
icache.accesses, 0x380
icache.misses, 0x280
idq_bubbles.core, 0x19c
inst_retired.any_p, 0xc0
itlb_misses.walk_completed, 0xe85
l2_request.all, 0x1ff24
l2_rqsts.all_code_rd, 0xe424
l2_rqsts.all_demand_data_rd, 0xe124
ld_blocks.store_forward, 0x203
longest_lat_cache.miss, 0x412e
longest_lat_cache.reference, 0x4f2e
mem_inst_retired.all_loads, 0x81d0
mem_inst_retired.all_stores, 0x82d0
mem_trans_retired.load_latency_gt_1024, 0x1cd, 0x400
mem_trans_retired.load_latency_gt_128, 0x1cd, 0x80
mem_trans_retired.load_latency_gt_16, 0x1cd, 0x10
mem_trans_retired.load_latency_gt_2048, 0x1cd, 0x800
mem_trans_retired.load_latency_gt_256, 0x1cd, 0x100
mem_trans_retired.load_latency_gt_32, 0x1cd, 0x20
mem_trans_retired.load_latency_gt_4, 0x1cd, 0x4
mem_trans_retired.load_latency_gt_512, 0x1cd, 0x200
mem_trans_retired.load_latency_gt_64, 0x1cd, 0x40
mem_trans_retired.load_latency_gt_8, 0x1cd, 0x8
mem_trans_retired.store_sample, 0x2cd
mem_uops_retired.all_loads, 0x81d0
mem_uops_retired.all_stores, 0x82d0
mem_uops_retired.load_latency_gt_1024, 0x5d0, 0x400
mem_uops_retired.load_latency_gt_128, 0x5d0, 0x80
mem_uops_retired.load_latency_gt_16, 0x5d0, 0x10
mem_uops_retired.load_latency_gt_2048, 0x5d0, 0x800
mem_uops_retired.load_latency_gt_256, 0x5d0, 0x100
mem_uops_retired.load_latency_gt_32, 0x5d0, 0x20
mem_uops_retired.load_latency_gt_4, 0x5d0, 0x4
mem_uops_retired.load_latency_gt_512, 0x5d0, 0x200
mem_uops_retired.load_latency_gt_64, 0x5d0, 0x40
mem_uops_retired.load_latency_gt_8, 0x5d0, 0x8
mem_uops_retired.store_latency, 0x6d0
misc_retired.lbr_inserts, 0x1e4
ocr.demand_data_rd.any_response, 0x1b7, 0x10001
ocr.demand_data_rd.any_response_0, 0x12a, 0x10001
ocr.demand_data_rd.any_response_1, 0x12b, 0x10001
ocr.demand_data_rd.dram, 0x1b7, 0x7bc000001
ocr.demand_data_rd.dram_0, 0x12a, 0x1e780000001
ocr.demand_data_rd.dram_1, 0x12b, 0x1e780000001
ocr.demand_data_rd.l3_miss, 0x1b7, 0x13fbfc00001
ocr.demand_data_rd.l3_miss_0, 0x12a, 0x9e7fa000001
ocr.demand_data_rd.l3_miss_1, 0x12b, 0x9e7fa000001
ocr.demand_rfo.any_response, 0x1b7, 0x10002
ocr.demand_rfo.any_response_0, 0x12a, 0x10002
ocr.demand_rfo.any_response_1, 0x12b, 0x10002
ocr.demand_rfo.l3_miss, 0x1b7, 0x13fbfc00002
ocr.demand_rfo.l3_miss_0, 0x12a, 0x9e7fa000002
ocr.demand_rfo.l3_miss_1, 0x12b, 0x9e7fa000002
topdown.backend_bound_slots, 0x2a4
topdown.slots_p, 0x1a4
topdown_bad_speculation.all_p, 0x73
topdown_be_bound.all, 0x2a4
topdown_be_bound.all_p, 0x2a4
topdown_fe_bound.all_p, 0x19c
topdown_retiring.all_p, 0x2c2
uops_retired.slots, 0x2c2
