arith.div_active, 0x3cd
arith.fpdiv_active, 0x2cd
baclears.any, 0x1e6
br_inst_retired.all_branches, 0xc4
br_inst_retired.cond, 0x7ec4
br_inst_retired.cond_taken, 0xfec4
br_inst_retired.far_branch, 0xbfc4
br_inst_retired.ind_call, 0xfbc4
br_inst_retired.indirect, 0xebc4
br_inst_retired.indirect_call, 0xfbc4
br_inst_retired.indirect_jmp, 0xefc4
br_inst_retired.near_call, 0xf9c4
br_inst_retired.near_return, 0xf7c4
br_inst_retired.near_taken, 0xc0c4
br_inst_retired.rel_call, 0xfdc4
br_inst_retired.rel_jmp, 0xdfc4
br_misp_retired.all_branches, 0xc5
br_misp_retired.cond, 0x7ec5
br_misp_retired.cond_taken, 0xfec5
br_misp_retired.indirect, 0xebc5
br_misp_retired.indirect_call, 0xfbc5
br_misp_retired.indirect_jmp, 0xefc5
br_misp_retired.near_taken, 0x80c5
br_misp_retired.return, 0xf7c5
cpu_clk_unhalted.core_p, 0x3c
cpu_clk_unhalted.ref_tsc_p, 0x13c
cpu_clk_unhalted.thread_p, 0x3c
dl1.dirty_eviction, 0x151
dtlb_load_misses.stlb_hit, 0x2008
dtlb_load_misses.walk_completed, 0xe08
dtlb_load_misses.walk_completed_2m_4m, 0x408
dtlb_load_misses.walk_completed_4k, 0x208
dtlb_load_misses.walk_pending, 0x1008
dtlb_store_misses.stlb_hit, 0x2049
dtlb_store_misses.walk_completed, 0xe49
dtlb_store_misses.walk_completed_2m_4m, 0x449
dtlb_store_misses.walk_completed_4k, 0x249
dtlb_store_misses.walk_pending, 0x1049
fp_flops_retired.all, 0x3c8
fp_flops_retired.dp, 0x1c8
fp_flops_retired.fp32, 0x2c8
fp_flops_retired.fp64, 0x1c8
fp_flops_retired.sp, 0x2c8
fp_inst_retired.128b_dp, 0x8c7
fp_inst_retired.128b_sp, 0x4c7
fp_inst_retired.256b_dp, 0x20c7
fp_inst_retired.32b_sp, 0x1c7
fp_inst_retired.64b_dp, 0x2c7
frontend_retired.all, 0xc6
frontend_retired.branch_detect, 0x2c6
frontend_retired.branch_resteer, 0x40c6
frontend_retired.cisc, 0x1c6
frontend_retired.decode, 0x8c6
frontend_retired.icache, 0x20c6
frontend_retired.itlb_miss, 0x10c6
frontend_retired.other, 0x80c6
frontend_retired.predecode, 0x4c6
icache.accesses, 0x380
icache.misses, 0x280
inst_retired.any_p, 0xc0
itlb_misses.miss_caused_walk, 0x185
itlb_misses.stlb_hit, 0x2085
itlb_misses.walk_completed, 0xe85
itlb_misses.walk_completed_2m_4m, 0x485
itlb_misses.walk_completed_4k, 0x285
itlb_misses.walk_pending, 0x1085
l2_lines_in.e, 0x425
l2_lines_in.f, 0x1025
l2_lines_in.m, 0x825
l2_lines_in.s, 0x225
l2_lines_out.non_silent, 0x226
l2_lines_out.silent, 0x126
l2_request.hit, 0x224
l2_request.miss, 0x124
l2_request.rejects, 0x424
lbr_inserts.any, 0x1e4
ld_blocks.address_alias, 0x403
ld_blocks.data_unknown, 0x103
ld_blocks.store_forward, 0x203
ld_head.any_at_ret, 0xff05
ld_head.dtlb_miss_at_ret, 0x9005
ld_head.l1_bound_at_ret, 0xf405
ld_head.l1_miss_at_ret, 0x8105
ld_head.other_at_ret, 0xc005
ld_head.pgwalk_at_ret, 0xa005
ld_head.st_addr_at_ret, 0x8405
longest_lat_cache.miss, 0x412e
longest_lat_cache.reference, 0x4f2e
machine_clears.disambiguation, 0x8c3
machine_clears.fp_assist, 0x4c3
machine_clears.memory_ordering, 0x2c3
machine_clears.page_fault, 0x20c3
machine_clears.slow, 0x6fc3
machine_clears.smc, 0x1c3
mem_bound_stalls_ifetch.all, 0x7f35
mem_bound_stalls_ifetch.l2_hit, 0x135
mem_bound_stalls_ifetch.llc_hit, 0x635
mem_bound_stalls_ifetch.llc_miss, 0x7835
mem_bound_stalls_load.all, 0x7f34
mem_bound_stalls_load.l2_hit, 0x134
mem_bound_stalls_load.llc_hit, 0x634
mem_bound_stalls_load.llc_hit_nosnoop, 0x234
mem_bound_stalls_load.llc_miss, 0x7834
mem_bound_stalls_load.sbfull, 0x8034
mem_load_uops_l3_miss_retired.all, 0xffd3
mem_load_uops_l3_miss_retired.local_dram, 0x1d3
mem_load_uops_l3_miss_retired.remote_dram_or_nofwd, 0x2d3
mem_load_uops_l3_miss_retired.remote_fwd_hitm, 0x8d3
mem_load_uops_l3_miss_retired.remote_fwd_nonm, 0x4d3
mem_load_uops_retired.l1_hit, 0x1d1
mem_load_uops_retired.l1_miss, 0x40d1
mem_load_uops_retired.l2_hit, 0x2d1
mem_load_uops_retired.l2_miss, 0x80d1
mem_load_uops_retired.l3_hit, 0x1cd1
mem_load_uops_retired.wcb_hit, 0x20d1
mem_scheduler_block.all, 0x704
mem_scheduler_block.ld_buf, 0x204
mem_scheduler_block.rsv, 0x404
mem_scheduler_block.st_buf, 0x104
mem_uops_retired.all_loads, 0x81d0
mem_uops_retired.all_stores, 0x82d0
mem_uops_retired.load_latency_gt_1024, 0x5d0, 0x400
mem_uops_retired.load_latency_gt_128, 0x5d0, 0x80
mem_uops_retired.load_latency_gt_16, 0x5d0, 0x10
mem_uops_retired.load_latency_gt_2048, 0x5d0, 0x800
mem_uops_retired.load_latency_gt_256, 0x5d0, 0x100
mem_uops_retired.load_latency_gt_32, 0x5d0, 0x20
mem_uops_retired.load_latency_gt_4, 0x5d0, 0x4
mem_uops_retired.load_latency_gt_512, 0x5d0, 0x200
mem_uops_retired.load_latency_gt_64, 0x5d0, 0x40
mem_uops_retired.load_latency_gt_8, 0x5d0, 0x8
mem_uops_retired.lock_loads, 0x21d0
mem_uops_retired.split, 0x43d0
mem_uops_retired.split_loads, 0x41d0
mem_uops_retired.split_stores, 0x42d0
mem_uops_retired.stlb_miss, 0x13d0
mem_uops_retired.stlb_miss_loads, 0x11d0
mem_uops_retired.stlb_miss_stores, 0x12d0
mem_uops_retired.store_latency, 0x6d0
misalign_mem_ref.load_page_split, 0x213
misalign_mem_ref.store_page_split, 0x413
misc_retired.lbr_inserts, 0x1e4
misc_retired1.cl_inst, 0xffe0
misc_retired1.lfence, 0x2e0
misc_retired2.keylocker_access, 0x10e1
misc_retired2.keylocker_miss, 0x11e1
ms_decoded.ms_busy, 0x4e7
ocr.demand_data_rd.any_response, 0x1b7, 0x10001
ocr.demand_data_rd.l3_hit.snoop_hit_with_fwd, 0x1b7, 0x8003c0001
ocr.demand_data_rd.l3_hit.snoop_hitm, 0x1b7, 0x10003c0001
ocr.demand_data_rd.l3_miss, 0x1b7, 0x3fbfc00001
ocr.demand_data_rd.local_dram, 0x1b7, 0x184000001
ocr.demand_data_rd.remote_dram, 0x1b7, 0x730000001
ocr.demand_rfo.any_response, 0x1b7, 0x10002
ocr.demand_rfo.l3_hit.snoop_hitm, 0x1b7, 0x10003c0002
ocr.demand_rfo.l3_miss, 0x1b7, 0x3fbfc00002
ocr.streaming_wr.any_response, 0x1b7, 0x10800
serialization.c01_ms_scb, 0x475
topdown_bad_speculation.all, 0x73
topdown_bad_speculation.all_p, 0x73
topdown_bad_speculation.fastnuke, 0x273
topdown_bad_speculation.machine_clears, 0x373
topdown_bad_speculation.mispredict, 0x473
topdown_bad_speculation.nuke, 0x173
topdown_be_bound.all, 0x74
topdown_be_bound.all_p, 0x74
topdown_be_bound.alloc_restrictions, 0x174
topdown_be_bound.mem_scheduler, 0x274
topdown_be_bound.non_mem_scheduler, 0x874
topdown_be_bound.register, 0x2074
topdown_be_bound.reorder_buffer, 0x4074
topdown_be_bound.serialization, 0x1074
topdown_fe_bound.all, 0x71
topdown_fe_bound.all_p, 0x71
topdown_fe_bound.branch_detect, 0x271
topdown_fe_bound.branch_resteer, 0x4071
topdown_fe_bound.cisc, 0x171
topdown_fe_bound.decode, 0x871
