arith.divider_active, 0x114
baclears.any, 0x1e6
br_inst_retired.all_branches, 0xc4
br_inst_retired.all_branches_pebs, 0x4c4
br_inst_retired.cond, 0x1c4
br_inst_retired.cond_ntaken, 0x10c4
br_inst_retired.conditional, 0x1c4
br_inst_retired.far_branch, 0x40c4
br_inst_retired.near_call, 0x2c4
br_inst_retired.near_return, 0x8c4
br_inst_retired.near_taken, 0x20c4
br_inst_retired.not_taken, 0x10c4
br_misp_exec.all_branches, 0xff89
br_misp_exec.indirect, 0xe489
br_misp_retired.all_branches, 0xc5
br_misp_retired.all_branches_pebs, 0x4c5
br_misp_retired.conditional, 0x1c5
br_misp_retired.near_call, 0x2c5
br_misp_retired.near_taken, 0x20c5
cpu_clk_thread_unhalted.one_thread_active, 0x23c
cpu_clk_thread_unhalted.ref_xclk, 0x13c
cpu_clk_thread_unhalted.ref_xclk_any, 0x13c
cpu_clk_unhalted.one_thread_active, 0x23c
cpu_clk_unhalted.ref_xclk, 0x13c
cpu_clk_unhalted.ref_xclk_any, 0x13c
cpu_clk_unhalted.ring0_trans, 0x3c
cpu_clk_unhalted.thread_p, 0x3c
cpu_clk_unhalted.thread_p_any, 0x3c
cycle_activity.cycles_l1d_miss, 0x8a3
cycle_activity.cycles_l2_miss, 0x1a3
cycle_activity.cycles_l3_miss, 0x2a3
cycle_activity.cycles_mem_any, 0x10a3
cycle_activity.stalls_l1d_miss, 0xca3
cycle_activity.stalls_l2_miss, 0x5a3
cycle_activity.stalls_l3_miss, 0x6a3
cycle_activity.stalls_mem_any, 0x14a3
cycle_activity.stalls_total, 0x4a3
decode.lcp, 0x187
dsb2mite_switches.count, 0x1ab
dsb2mite_switches.penalty_cycles, 0x2ab
dtlb_load_misses.miss_causes_a_walk, 0x108
dtlb_load_misses.stlb_hit, 0x2008
dtlb_load_misses.walk_active, 0x1008
dtlb_load_misses.walk_completed, 0xe08
dtlb_load_misses.walk_completed_1g, 0x808
dtlb_load_misses.walk_completed_2m_4m, 0x408
dtlb_load_misses.walk_completed_4k, 0x208
dtlb_load_misses.walk_pending, 0x1008
dtlb_store_misses.miss_causes_a_walk, 0x149
dtlb_store_misses.stlb_hit, 0x2049
dtlb_store_misses.walk_active, 0x1049
dtlb_store_misses.walk_completed, 0xe49
dtlb_store_misses.walk_completed_1g, 0x849
dtlb_store_misses.walk_completed_2m_4m, 0x449
dtlb_store_misses.walk_completed_4k, 0x249
dtlb_store_misses.walk_pending, 0x1049
ept.walk_pending, 0x104f
exe_activity.1_ports_util, 0x2a6
exe_activity.2_ports_util, 0x4a6
exe_activity.3_ports_util, 0x8a6
exe_activity.4_ports_util, 0x10a6
exe_activity.bound_on_stores, 0x40a6
exe_activity.exe_bound_0_ports, 0x1a6
fp_arith_inst_retired.128b_packed_double, 0x4c7
fp_arith_inst_retired.128b_packed_single, 0x8c7
fp_arith_inst_retired.256b_packed_double, 0x10c7
fp_arith_inst_retired.256b_packed_single, 0x20c7
fp_arith_inst_retired.4_flops, 0x18c7
fp_arith_inst_retired.scalar, 0x3c7
fp_arith_inst_retired.scalar_double, 0x1c7
fp_arith_inst_retired.scalar_single, 0x2c7
fp_arith_inst_retired.vector, 0xfcc7
fp_assist.any, 0x1eca
frontend_retired.any_dsb_miss, 0x1c6, 0x1
frontend_retired.dsb_miss, 0x1c6, 0x11
frontend_retired.itlb_miss, 0x1c6, 0x14
frontend_retired.l1i_miss, 0x1c6, 0x12
frontend_retired.l2_miss, 0x1c6, 0x13
frontend_retired.latency_ge_1, 0x1c6, 0x400106
frontend_retired.latency_ge_128, 0x1c6, 0x408006
frontend_retired.latency_ge_16, 0x1c6, 0x401006
frontend_retired.latency_ge_2, 0x1c6, 0x400206
frontend_retired.latency_ge_256, 0x1c6, 0x410006
frontend_retired.latency_ge_2_bubbles_ge_1, 0x1c6, 0x100206
frontend_retired.latency_ge_2_bubbles_ge_2, 0x1c6, 0x200206
frontend_retired.latency_ge_2_bubbles_ge_3, 0x1c6, 0x300206
frontend_retired.latency_ge_32, 0x1c6, 0x402006
frontend_retired.latency_ge_4, 0x1c6, 0x400406
frontend_retired.latency_ge_512, 0x1c6, 0x420006
frontend_retired.latency_ge_64, 0x1c6, 0x404006
frontend_retired.latency_ge_8, 0x1c6, 0x400806
frontend_retired.stlb_miss, 0x1c6, 0x15
hle_retired.aborted, 0x4c8
hle_retired.aborted_events, 0x80c8
hle_retired.aborted_mem, 0x8c8
hle_retired.aborted_memtype, 0x40c8
hle_retired.aborted_timer, 0x10c8
hle_retired.aborted_unfriendly, 0x20c8
hle_retired.commit, 0x2c8
hle_retired.start, 0x1c8
hw_interrupts.received, 0x1cb
icache_16b.ifdata_stall, 0x480
icache_64b.iftag_hit, 0x183
icache_64b.iftag_miss, 0x283
icache_64b.iftag_stall, 0x483
icache_tag.stalls, 0x483
idq.all_dsb_cycles_4_uops, 0x1879
idq.all_dsb_cycles_any_uops, 0x1879
idq.all_mite_cycles_4_uops, 0x2479
idq.all_mite_cycles_any_uops, 0x2479
idq.dsb_cycles, 0x879
idq.dsb_cycles_any, 0x1879
idq.dsb_cycles_ok, 0x1879
idq.dsb_uops, 0x879
idq.mite_cycles, 0x479
idq.mite_uops, 0x479
idq.ms_cycles, 0x3079
idq.ms_dsb_cycles, 0x1079
idq.ms_mite_uops, 0x2079
idq.ms_switches, 0x3079
idq.ms_uops, 0x3079
idq_uops_not_delivered.core, 0x19c
idq_uops_not_delivered.cycles_0_uops_deliv.core, 0x19c
idq_uops_not_delivered.cycles_fe_was_ok, 0x19c
idq_uops_not_delivered.cycles_le_1_uop_deliv.core, 0x19c
idq_uops_not_delivered.cycles_le_2_uop_deliv.core, 0x19c
idq_uops_not_delivered.cycles_le_3_uop_deliv.core, 0x19c
ild_stall.lcp, 0x187
inst_decoded.decoders, 0x155
inst_retired.any_p, 0xc0
inst_retired.nop, 0x2c0
inst_retired.prec_dist, 0x1c0
inst_retired.total_cycles_ps, 0x1c0
int_misc.clear_resteer_cycles, 0x800d
int_misc.clears_count, 0x10d
int_misc.recovery_cycles, 0x10d
int_misc.recovery_cycles_any, 0x10d
itlb.itlb_flush, 0x1ae
itlb_misses.miss_causes_a_walk, 0x185
itlb_misses.stlb_hit, 0x2085
itlb_misses.walk_active, 0x1085
itlb_misses.walk_completed, 0xe85
itlb_misses.walk_completed_1g, 0x885
itlb_misses.walk_completed_2m_4m, 0x485
itlb_misses.walk_completed_4k, 0x285
itlb_misses.walk_pending, 0x1085
l1d.replacement, 0x151
l1d_pend_miss.fb_full, 0x248
l1d_pend_miss.pending, 0x148
l1d_pend_miss.pending_cycles, 0x148
l1d_pend_miss.pending_cycles_any, 0x148
l2_lines_in.all, 0x1ff1
l2_lines_out.non_silent, 0x2f2
l2_lines_out.silent, 0x1f2
l2_lines_out.useless_hwpf, 0x4f2
l2_lines_out.useless_pref, 0x4f2
l2_rqsts.all_code_rd, 0xe424
l2_rqsts.all_demand_data_rd, 0xe124
l2_rqsts.all_demand_miss, 0x2724
l2_rqsts.all_demand_references, 0xe724
l2_rqsts.all_pf, 0xf824
l2_rqsts.all_rfo, 0xe224
l2_rqsts.code_rd_hit, 0xc424
l2_rqsts.code_rd_miss, 0x2424
l2_rqsts.demand_data_rd_hit, 0xc124
l2_rqsts.demand_data_rd_miss, 0x2124
l2_rqsts.miss, 0x3f24
l2_rqsts.pf_hit, 0xd824
l2_rqsts.pf_miss, 0x3824
l2_rqsts.references, 0xff24
l2_rqsts.rfo_hit, 0xc224
l2_rqsts.rfo_miss, 0x2224
l2_trans.l2_wb, 0x40f0
ld_blocks.no_sr, 0x803
ld_blocks.store_forward, 0x203
ld_blocks_partial.address_alias, 0x107
load_hit_pre.sw_pf, 0x14c
longest_lat_cache.miss, 0x412e
longest_lat_cache.reference, 0x4f2e
lsd.cycles_4_uops, 0x1a8
lsd.cycles_active, 0x1a8
lsd.cycles_ok, 0x1a8
lsd.uops, 0x1a8
machine_clears.count, 0x1c3
machine_clears.memory_ordering, 0x2c3
machine_clears.smc, 0x4c3
mem_inst_retired.all_loads, 0x81d0
mem_inst_retired.all_stores, 0x82d0
mem_inst_retired.any, 0x83d0
mem_inst_retired.lock_loads, 0x21d0
mem_inst_retired.split_loads, 0x41d0
mem_inst_retired.split_stores, 0x42d0
mem_inst_retired.stlb_miss_loads, 0x11d0
mem_inst_retired.stlb_miss_stores, 0x12d0
mem_load_l3_hit_retired.xsnp_hit, 0x2d2
mem_load_l3_hit_retired.xsnp_hitm, 0x4d2
mem_load_l3_hit_retired.xsnp_miss, 0x1d2
mem_load_l3_hit_retired.xsnp_none, 0x8d2
mem_load_misc_retired.uc, 0x4d4
mem_load_retired.fb_hit, 0x40d1
mem_load_retired.l1_hit, 0x1d1
mem_load_retired.l1_miss, 0x8d1
mem_load_retired.l2_hit, 0x2d1
mem_load_retired.l2_miss, 0x10d1
mem_load_retired.l3_hit, 0x4d1
mem_load_retired.l3_miss, 0x20d1
