machine_clears.memory_ordering, 0x2c3
mem_trans_retired.load_latency_gt_128, 0x1cd, 0x80
mem_trans_retired.load_latency_gt_16, 0x1cd, 0x10
mem_trans_retired.load_latency_gt_256, 0x1cd, 0x100
mem_trans_retired.load_latency_gt_32, 0x1cd, 0x20
mem_trans_retired.load_latency_gt_4, 0x1cd, 0x4
mem_trans_retired.load_latency_gt_512, 0x1cd, 0x200
mem_trans_retired.load_latency_gt_64, 0x1cd, 0x40
mem_trans_retired.load_latency_gt_8, 0x1cd, 0x8
mem_trans_retired.precise_store, 0x2cd
misalign_mem_ref.loads, 0x105
misalign_mem_ref.stores, 0x205
offcore_response.all_code_rd.llc_miss.dram_0, 0x1b7, 0x300400244
offcore_response.all_code_rd.llc_miss.dram_1, 0x1bb, 0x300400244
offcore_response.all_data_rd.llc_miss.dram_0, 0x1b7, 0x300400091
offcore_response.all_data_rd.llc_miss.dram_1, 0x1bb, 0x300400091
offcore_response.all_reads.llc_miss.dram_0, 0x1b7, 0x3004003f7
offcore_response.all_reads.llc_miss.dram_1, 0x1bb, 0x3004003f7
offcore_response.data_in_socket.llc_miss.local_dram_0, 0x1b7, 0x6004001b3
offcore_response.data_in_socket.llc_miss.local_dram_1, 0x1bb, 0x6004001b3
offcore_response.demand_code_rd.llc_miss.dram_0, 0x1b7, 0x300400004
offcore_response.demand_code_rd.llc_miss.dram_1, 0x1bb, 0x300400004
offcore_response.demand_data_rd.llc_miss.dram_0, 0x1b7, 0x300400001
offcore_response.demand_data_rd.llc_miss.dram_1, 0x1bb, 0x300400001
page_walks.llc_miss, 0x1be
dtlb_load_misses.large_page_walk_completed, 0x8808
dtlb_load_misses.miss_causes_a_walk, 0x8108
dtlb_load_misses.stlb_hit, 0x45f
dtlb_load_misses.walk_completed, 0x8208
dtlb_load_misses.walk_duration, 0x8408
dtlb_store_misses.miss_causes_a_walk, 0x149
dtlb_store_misses.stlb_hit, 0x1049
dtlb_store_misses.walk_completed, 0x249
dtlb_store_misses.walk_duration, 0x449
ept.walk_cycles, 0x104f
itlb.itlb_flush, 0x1ae
itlb_misses.large_page_walk_completed, 0x8085
itlb_misses.miss_causes_a_walk, 0x185
itlb_misses.stlb_hit, 0x1085
itlb_misses.walk_completed, 0x285
itlb_misses.walk_duration, 0x485
tlb_flush.dtlb_thread, 0x1bd
tlb_flush.stlb_any, 0x20bd
fp_assist.any, 0x1eca
fp_assist.simd_input, 0x10ca
fp_assist.simd_output, 0x8ca
fp_assist.x87_input, 0x4ca
fp_assist.x87_output, 0x2ca
fp_comp_ops_exe.sse_packed_double, 0x1010
fp_comp_ops_exe.sse_packed_single, 0x4010
fp_comp_ops_exe.sse_scalar_double, 0x8010
fp_comp_ops_exe.sse_scalar_single, 0x2010
fp_comp_ops_exe.x87, 0x110
move_elimination.simd_eliminated, 0x258
move_elimination.simd_not_eliminated, 0x858
other_assists.avx_store, 0x8c1
other_assists.avx_to_sse, 0x10c1
other_assists.sse_to_avx, 0x20c1
simd_fp_256.packed_double, 0x211
simd_fp_256.packed_single, 0x111
unc_cbo_cache_lookup.any_es, 0x8634
unc_cbo_cache_lookup.any_i, 0x8834
unc_cbo_cache_lookup.any_m, 0x8134
unc_cbo_cache_lookup.any_mesi, 0x8f34
unc_cbo_cache_lookup.extsnp_es, 0x4634
unc_cbo_cache_lookup.extsnp_i, 0x4834
unc_cbo_cache_lookup.extsnp_m, 0x4134
unc_cbo_cache_lookup.extsnp_mesi, 0x4f34
unc_cbo_cache_lookup.read_es, 0x1634
unc_cbo_cache_lookup.read_i, 0x1834
unc_cbo_cache_lookup.read_m, 0x1134
unc_cbo_cache_lookup.read_mesi, 0x1f34
unc_cbo_cache_lookup.write_es, 0x2634
unc_cbo_cache_lookup.write_i, 0x2834
unc_cbo_cache_lookup.write_m, 0x2134
unc_cbo_cache_lookup.write_mesi, 0x2f34
unc_cbo_xsnp_response.hitm_eviction, 0x8822
unc_cbo_xsnp_response.hitm_external, 0x2822
unc_cbo_xsnp_response.hitm_xcore, 0x4822
unc_cbo_xsnp_response.hit_eviction, 0x8422
unc_cbo_xsnp_response.hit_external, 0x2422
unc_cbo_xsnp_response.hit_xcore, 0x4422
unc_cbo_xsnp_response.miss_eviction, 0x8122
unc_cbo_xsnp_response.miss_external, 0x2122
unc_cbo_xsnp_response.miss_xcore, 0x4122
cpl_cycles.ring0, 0x15c
cpl_cycles.ring0_trans, 0x15c
cpl_cycles.ring123, 0x25c
lock_cycles.split_lock_uc_lock_duration, 0x163
baclears.any, 0x1fe6
dsb2mite_switches.count, 0x1ab
dsb2mite_switches.penalty_cycles, 0x2ab
dsb_fill.exceed_dsb_lines, 0x8ac
icache.hit, 0x180
icache.ifetch_stall, 0x480
icache.misses, 0x280
idq.all_dsb_cycles_4_uops, 0x1879
idq.all_dsb_cycles_any_uops, 0x1879
idq.all_mite_cycles_4_uops, 0x2479
idq.all_mite_cycles_any_uops, 0x2479
