MACHINE_CLEARS.MEMORY_ORDERING, 0x2c3
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_128, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_16, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_256, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_32, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_512, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_64, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_8, 0x1cd
MEM_TRANS_RETIRED.PRECISE_STORE, 0x2cd
MISALIGN_MEM_REF.LOADS, 0x105
MISALIGN_MEM_REF.STORES, 0x205
DTLB_LOAD_MISSES.DEMAND_LD_WALK_COMPLETED, 0x8208
DTLB_LOAD_MISSES.DEMAND_LD_WALK_DURATION, 0x8408
DTLB_LOAD_MISSES.LARGE_PAGE_WALK_COMPLETED, 0x8808
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK, 0x8108
DTLB_LOAD_MISSES.STLB_HIT, 0x45f
DTLB_LOAD_MISSES.WALK_COMPLETED, 0x8208
DTLB_LOAD_MISSES.WALK_DURATION, 0x8408
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK, 0x149
DTLB_STORE_MISSES.STLB_HIT, 0x1049
DTLB_STORE_MISSES.WALK_COMPLETED, 0x249
DTLB_STORE_MISSES.WALK_DURATION, 0x449
EPT.WALK_CYCLES, 0x104f
ITLB.ITLB_FLUSH, 0x1ae
ITLB_MISSES.LARGE_PAGE_WALK_COMPLETED, 0x8085
ITLB_MISSES.MISS_CAUSES_A_WALK, 0x185
ITLB_MISSES.STLB_HIT, 0x1085
ITLB_MISSES.WALK_COMPLETED, 0x285
ITLB_MISSES.WALK_DURATION, 0x485
TLB_FLUSH.DTLB_THREAD, 0x1bd
TLB_FLUSH.STLB_ANY, 0x20bd
FP_ASSIST.ANY, 0x1eca
FP_ASSIST.SIMD_INPUT, 0x10ca
FP_ASSIST.SIMD_OUTPUT, 0x8ca
FP_ASSIST.X87_INPUT, 0x4ca
FP_ASSIST.X87_OUTPUT, 0x2ca
FP_COMP_OPS_EXE.SSE_PACKED_DOUBLE, 0x1010
FP_COMP_OPS_EXE.SSE_PACKED_SINGLE, 0x4010
FP_COMP_OPS_EXE.SSE_SCALAR_DOUBLE, 0x8010
FP_COMP_OPS_EXE.SSE_SCALAR_SINGLE, 0x2010
FP_COMP_OPS_EXE.X87, 0x110
MOVE_ELIMINATION.SIMD_ELIMINATED, 0x258
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED, 0x858
OTHER_ASSISTS.AVX_STORE, 0x8c1
OTHER_ASSISTS.AVX_TO_SSE, 0x10c1
OTHER_ASSISTS.SSE_TO_AVX, 0x20c1
SIMD_FP_256.PACKED_DOUBLE, 0x211
SIMD_FP_256.PACKED_SINGLE, 0x111
UNC_P_CORE0_TRANSITION_CYCLES, 0x70
UNC_P_CORE10_TRANSITION_CYCLES, 0x7a
UNC_P_CORE11_TRANSITION_CYCLES, 0x7b
UNC_P_CORE12_TRANSITION_CYCLES, 0x7c
UNC_P_CORE13_TRANSITION_CYCLES, 0x7d
UNC_P_CORE14_TRANSITION_CYCLES, 0x7e
UNC_P_CORE1_TRANSITION_CYCLES, 0x71
UNC_P_CORE2_TRANSITION_CYCLES, 0x72
UNC_P_CORE3_TRANSITION_CYCLES, 0x73
UNC_P_CORE4_TRANSITION_CYCLES, 0x74
UNC_P_CORE5_TRANSITION_CYCLES, 0x75
UNC_P_CORE6_TRANSITION_CYCLES, 0x76
UNC_P_CORE7_TRANSITION_CYCLES, 0x77
UNC_P_CORE8_TRANSITION_CYCLES, 0x78
UNC_P_CORE9_TRANSITION_CYCLES, 0x79
UNC_P_DELAYED_C_STATE_ABORT_CORE0, 0x17
UNC_P_DELAYED_C_STATE_ABORT_CORE1, 0x18
UNC_P_DELAYED_C_STATE_ABORT_CORE10, 0x21
UNC_P_DELAYED_C_STATE_ABORT_CORE11, 0x22
UNC_P_DELAYED_C_STATE_ABORT_CORE12, 0x23
UNC_P_DELAYED_C_STATE_ABORT_CORE13, 0x24
UNC_P_DELAYED_C_STATE_ABORT_CORE14, 0x25
UNC_P_DELAYED_C_STATE_ABORT_CORE2, 0x19
UNC_P_DELAYED_C_STATE_ABORT_CORE3, 0x1a
UNC_P_DELAYED_C_STATE_ABORT_CORE4, 0x1b
UNC_P_DELAYED_C_STATE_ABORT_CORE5, 0x1c
UNC_P_DELAYED_C_STATE_ABORT_CORE6, 0x1d
UNC_P_DELAYED_C_STATE_ABORT_CORE7, 0x1e
UNC_P_DELAYED_C_STATE_ABORT_CORE8, 0x1f
UNC_P_DELAYED_C_STATE_ABORT_CORE9, 0x20
UNC_P_DEMOTIONS_CORE0, 0x1e
UNC_P_DEMOTIONS_CORE1, 0x1f
UNC_P_DEMOTIONS_CORE10, 0x42
UNC_P_DEMOTIONS_CORE11, 0x43
UNC_P_DEMOTIONS_CORE12, 0x44
UNC_P_DEMOTIONS_CORE13, 0x45
UNC_P_DEMOTIONS_CORE14, 0x46
UNC_P_DEMOTIONS_CORE2, 0x20
UNC_P_DEMOTIONS_CORE3, 0x21
UNC_P_DEMOTIONS_CORE4, 0x22
UNC_P_DEMOTIONS_CORE5, 0x23
UNC_P_DEMOTIONS_CORE6, 0x24
UNC_P_DEMOTIONS_CORE7, 0x25
UNC_P_DEMOTIONS_CORE8, 0x40
UNC_P_DEMOTIONS_CORE9, 0x41
UNC_P_FREQ_BAND0_CYCLES, 0xb
UNC_P_FREQ_BAND1_CYCLES, 0xc
UNC_P_FREQ_BAND2_CYCLES, 0xd
UNC_P_FREQ_BAND3_CYCLES, 0xe
UNC_P_FREQ_MAX_CURRENT_CYCLES, 0x7
UNC_P_FREQ_MAX_LIMIT_THERMAL_CYCLES, 0x4
UNC_P_FREQ_MAX_OS_CYCLES, 0x6
UNC_P_FREQ_MAX_POWER_CYCLES, 0x5
