machine_clears.memory_ordering, 0x2c3
mem_trans_retired.load_latency_gt_128, 0x1cd
mem_trans_retired.load_latency_gt_16, 0x1cd
mem_trans_retired.load_latency_gt_256, 0x1cd
mem_trans_retired.load_latency_gt_32, 0x1cd
mem_trans_retired.load_latency_gt_4, 0x1cd
mem_trans_retired.load_latency_gt_512, 0x1cd
mem_trans_retired.load_latency_gt_64, 0x1cd
mem_trans_retired.load_latency_gt_8, 0x1cd
mem_trans_retired.precise_store, 0x2cd
misalign_mem_ref.loads, 0x105
misalign_mem_ref.stores, 0x205
offcore_response.all_demand_mlc_pref_reads.llc_miss.any_response_0, 0x1b7
offcore_response.all_demand_mlc_pref_reads.llc_miss.any_response_1, 0x1bb
offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram_0, 0x1b7
offcore_response.all_demand_mlc_pref_reads.llc_miss.local_dram_1, 0x1bb
offcore_response.all_demand_mlc_pref_reads.llc_miss.remote_hitm_hit_forward_0, 0x1b7
offcore_response.all_demand_mlc_pref_reads.llc_miss.remote_hitm_hit_forward_1, 0x1bb
offcore_response.demand_code_rd.llc_miss.any_response_0, 0x1b7
offcore_response.demand_code_rd.llc_miss.any_response_1, 0x1bb
offcore_response.demand_code_rd.llc_miss.local_dram_0, 0x1b7
offcore_response.demand_code_rd.llc_miss.local_dram_1, 0x1bb
offcore_response.demand_code_rd.llc_miss.remote_dram_0, 0x1b7
offcore_response.demand_code_rd.llc_miss.remote_dram_1, 0x1bb
offcore_response.demand_code_rd.llc_miss.remote_hitm_0, 0x1b7
offcore_response.demand_code_rd.llc_miss.remote_hitm_1, 0x1bb
offcore_response.demand_code_rd.llc_miss.remote_hit_forward_0, 0x1b7
offcore_response.demand_code_rd.llc_miss.remote_hit_forward_1, 0x1bb
offcore_response.demand_data_rd.llc_miss.any_dram_0, 0x1b7
offcore_response.demand_data_rd.llc_miss.any_dram_1, 0x1bb
offcore_response.demand_data_rd.llc_miss.any_response_0, 0x1b7
offcore_response.demand_data_rd.llc_miss.any_response_1, 0x1bb
offcore_response.demand_data_rd.llc_miss.local_dram_0, 0x1b7
offcore_response.demand_data_rd.llc_miss.local_dram_1, 0x1bb
offcore_response.demand_data_rd.llc_miss.remote_dram_0, 0x1b7
offcore_response.demand_data_rd.llc_miss.remote_dram_1, 0x1bb
offcore_response.demand_data_rd.llc_miss.remote_hitm_0, 0x1b7
offcore_response.demand_data_rd.llc_miss.remote_hitm_1, 0x1bb
offcore_response.demand_data_rd.llc_miss.remote_hit_forward_0, 0x1b7
offcore_response.demand_data_rd.llc_miss.remote_hit_forward_1, 0x1bb
offcore_response.pf_l2_code_rd.llc_miss.any_response_0, 0x1b7
offcore_response.pf_l2_code_rd.llc_miss.any_response_1, 0x1bb
offcore_response.pf_l2_data_rd.llc_miss.any_dram_0, 0x1b7
offcore_response.pf_l2_data_rd.llc_miss.any_dram_1, 0x1bb
offcore_response.pf_l2_data_rd.llc_miss.any_response_0, 0x1b7
offcore_response.pf_l2_data_rd.llc_miss.any_response_1, 0x1bb
offcore_response.pf_l2_data_rd.llc_miss.local_dram_0, 0x1b7
offcore_response.pf_l2_data_rd.llc_miss.local_dram_1, 0x1bb
offcore_response.pf_l2_data_rd.llc_miss.remote_dram_0, 0x1b7
offcore_response.pf_l2_data_rd.llc_miss.remote_dram_1, 0x1bb
offcore_response.pf_l2_data_rd.llc_miss.remote_hitm_0, 0x1b7
offcore_response.pf_l2_data_rd.llc_miss.remote_hitm_1, 0x1bb
offcore_response.pf_l2_data_rd.llc_miss.remote_hit_forward_0, 0x1b7
offcore_response.pf_l2_data_rd.llc_miss.remote_hit_forward_1, 0x1bb
offcore_response.pf_llc_code_rd.llc_miss.any_response_0, 0x1b7
offcore_response.pf_llc_code_rd.llc_miss.any_response_1, 0x1bb
offcore_response.pf_llc_data_rd.llc_miss.any_response_0, 0x1b7
offcore_response.pf_llc_data_rd.llc_miss.any_response_1, 0x1bb
dtlb_load_misses.miss_causes_a_walk, 0x108
dtlb_load_misses.stlb_hit, 0x1008
dtlb_load_misses.walk_completed, 0x208
dtlb_load_misses.walk_duration, 0x408
dtlb_store_misses.miss_causes_a_walk, 0x149
dtlb_store_misses.stlb_hit, 0x1049
dtlb_store_misses.walk_completed, 0x249
dtlb_store_misses.walk_duration, 0x449
ept.walk_cycles, 0x104f
itlb.itlb_flush, 0x1ae
itlb_misses.miss_causes_a_walk, 0x185
itlb_misses.stlb_hit, 0x1085
itlb_misses.walk_completed, 0x285
itlb_misses.walk_duration, 0x485
tlb_flush.dtlb_thread, 0x1bd
tlb_flush.stlb_any, 0x20bd
fp_assist.any, 0x1eca
fp_assist.simd_input, 0x10ca
fp_assist.simd_output, 0x8ca
fp_assist.x87_input, 0x4ca
fp_assist.x87_output, 0x2ca
fp_comp_ops_exe.sse_packed_double, 0x1010
fp_comp_ops_exe.sse_packed_single, 0x4010
fp_comp_ops_exe.sse_scalar_double, 0x8010
fp_comp_ops_exe.sse_scalar_single, 0x2010
fp_comp_ops_exe.x87, 0x110
other_assists.avx_store, 0x8c1
other_assists.avx_to_sse, 0x10c1
other_assists.sse_to_avx, 0x20c1
simd_fp_256.packed_double, 0x211
simd_fp_256.packed_single, 0x111
unc_p_core0_transition_cycles, 0x3
unc_p_core1_transition_cycles, 0x4
unc_p_core2_transition_cycles, 0x5
unc_p_core3_transition_cycles, 0x6
unc_p_core4_transition_cycles, 0x7
unc_p_core5_transition_cycles, 0x8
unc_p_core6_transition_cycles, 0x9
unc_p_core7_transition_cycles, 0xa
unc_p_demotions_core0, 0x1e
unc_p_demotions_core1, 0x1f
unc_p_demotions_core2, 0x20
unc_p_demotions_core3, 0x21
unc_p_demotions_core4, 0x22
unc_p_demotions_core5, 0x23
unc_p_demotions_core6, 0x24
unc_p_demotions_core7, 0x25
unc_p_freq_band0_cycles, 0xb
unc_p_freq_band1_cycles, 0xc
unc_p_freq_band2_cycles, 0xd
unc_p_freq_band3_cycles, 0xe
unc_p_freq_max_current_cycles, 0x7
unc_p_freq_max_limit_thermal_cycles, 0x4
unc_p_freq_max_os_cycles, 0x6
