machine_clears.memory_ordering, 0x2c3
offcore_response.any_code_rd.ddr, 0x1b7
offcore_response.any_code_rd.ddr_far, 0x1b7
offcore_response.any_code_rd.ddr_near, 0x1b7
offcore_response.any_code_rd.mcdram, 0x1b7
offcore_response.any_code_rd.mcdram_far, 0x1b7
offcore_response.any_code_rd.mcdram_near, 0x1b7
offcore_response.any_data_rd.ddr, 0x1b7
offcore_response.any_data_rd.ddr_far, 0x1b7
offcore_response.any_data_rd.ddr_near, 0x1b7
offcore_response.any_data_rd.mcdram, 0x1b7
offcore_response.any_data_rd.mcdram_far, 0x1b7
offcore_response.any_data_rd.mcdram_near, 0x1b7
offcore_response.any_pf_l2.ddr_far, 0x1b7
offcore_response.any_pf_l2.ddr_near, 0x1b7
offcore_response.any_pf_l2.mcdram, 0x1b7
offcore_response.any_pf_l2.mcdram_far, 0x1b7
offcore_response.any_pf_l2.mcdram_near, 0x1b7
offcore_response.any_read.ddr, 0x1b7
offcore_response.any_read.ddr_far, 0x1b7
offcore_response.any_read.ddr_near, 0x1b7
offcore_response.any_read.mcdram, 0x1b7
offcore_response.any_read.mcdram_far, 0x1b7
offcore_response.any_read.mcdram_near, 0x1b7
offcore_response.any_request.ddr, 0x1b7
offcore_response.any_request.ddr_far, 0x1b7
offcore_response.any_request.ddr_near, 0x1b7
offcore_response.any_request.mcdram, 0x1b7
offcore_response.any_request.mcdram_far, 0x1b7
offcore_response.any_request.mcdram_near, 0x1b7
offcore_response.any_rfo.ddr, 0x1b7
offcore_response.any_rfo.ddr_far, 0x1b7
offcore_response.any_rfo.ddr_near, 0x1b7
offcore_response.any_rfo.mcdram, 0x1b7
offcore_response.any_rfo.mcdram_far, 0x1b7
offcore_response.any_rfo.mcdram_near, 0x1b7
offcore_response.bus_locks.ddr, 0x1b7
offcore_response.bus_locks.ddr_far, 0x1b7
offcore_response.bus_locks.ddr_near, 0x1b7
offcore_response.bus_locks.mcdram, 0x1b7
offcore_response.bus_locks.mcdram_far, 0x1b7
offcore_response.bus_locks.mcdram_near, 0x1b7
offcore_response.demand_code_rd.ddr, 0x1b7
offcore_response.demand_code_rd.ddr_far, 0x1b7
offcore_response.demand_code_rd.ddr_near, 0x1b7
offcore_response.demand_code_rd.mcdram, 0x1b7
offcore_response.demand_code_rd.mcdram_far, 0x1b7
offcore_response.demand_code_rd.mcdram_near, 0x1b7
offcore_response.demand_data_rd.ddr, 0x1b7
offcore_response.demand_data_rd.ddr_far, 0x1b7
offcore_response.demand_data_rd.ddr_near, 0x1b7
