LD_HEAD.ANY, 0x7f05
LD_HEAD.ANY_AT_RET, 0xff05
LD_HEAD.L1_BOUND_AT_RET, 0xf405
LD_HEAD.L1_MISS, 0x105
LD_HEAD.L1_MISS_AT_RET, 0x8105
LD_HEAD.OTHER, 0x4005
LD_HEAD.OTHER_AT_RET, 0xc005
LD_HEAD.PGWALK, 0x2005
LD_HEAD.PGWALK_AT_RET, 0xa005
LD_HEAD.ST_ADDR, 0x405
LD_HEAD.ST_ADDR_AT_RET, 0x8405
LD_HEAD.ST_DATA, 0x805
LD_HEAD.WCB_FULL, 0x205
LD_HEAD.WCB_FULL_AT_RET, 0x8205
MACHINE_CLEARS.MEMORY_ORDERING, 0x2c3
MACHINE_CLEARS.MEMORY_ORDERING, 0x2c3
MACHINE_CLEARS.MEMORY_ORDERING_FAST, 0x82c3
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_1024, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_128, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_16, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_2048, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_256, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_32, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_512, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_64, 0x1cd
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_8, 0x1cd
MEM_TRANS_RETIRED.STORE_SAMPLE, 0x2cd
MISALIGN_MEM_REF.LOAD_PAGE_SPLIT, 0x213
MISALIGN_MEM_REF.STORE_PAGE_SPLIT, 0x413
OCR.DEMAND_CODE_RD.DRAM, 0x1b7
OCR.DEMAND_CODE_RD.L3_MISS, 0x1b7
OCR.DEMAND_DATA_RD.DRAM, 0x1b7
OCR.DEMAND_DATA_RD.L3_MISS, 0x1b7
OCR.DEMAND_RFO.DRAM, 0x1b7
OCR.DEMAND_RFO.L3_MISS, 0x1b7
OFFCORE_REQUESTS.L3_MISS_DEMAND_DATA_RD, 0x1021
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD, 0x1020
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD, 0x1020
DTLB_LOAD_MISSES.MISS_CAUSED_WALK, 0x108
DTLB_LOAD_MISSES.PDE_CACHE_MISS, 0x8008
DTLB_LOAD_MISSES.STLB_HIT, 0x2008
DTLB_LOAD_MISSES.STLB_HIT, 0x32012
DTLB_LOAD_MISSES.STLB_HIT_4K, 0x2008
DTLB_LOAD_MISSES.STLB_HIT_LGPG, 0x4008
DTLB_LOAD_MISSES.WALK_ACTIVE, 0x1012
DTLB_LOAD_MISSES.WALK_COMPLETED, 0xe08
DTLB_LOAD_MISSES.WALK_COMPLETED, 0xe12
DTLB_LOAD_MISSES.WALK_COMPLETED_1G, 0x812
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M, 0x408
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M, 0x412
DTLB_LOAD_MISSES.WALK_COMPLETED_4K, 0x208
DTLB_LOAD_MISSES.WALK_COMPLETED_4K, 0x212
DTLB_LOAD_MISSES.WALK_PENDING, 0x1008
DTLB_LOAD_MISSES.WALK_PENDING, 0x1012
DTLB_STORE_MISSES.MISS_CAUSED_WALK, 0x149
DTLB_STORE_MISSES.PDE_CACHE_MISS, 0x8049
DTLB_STORE_MISSES.STLB_HIT, 0x2049
DTLB_STORE_MISSES.STLB_HIT, 0x32013
DTLB_STORE_MISSES.WALK_ACTIVE, 0x1013
DTLB_STORE_MISSES.WALK_COMPLETED, 0xe49
DTLB_STORE_MISSES.WALK_COMPLETED, 0xe13
DTLB_STORE_MISSES.WALK_COMPLETED_1G, 0x813
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M, 0x449
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M, 0x413
DTLB_STORE_MISSES.WALK_COMPLETED_4K, 0x249
DTLB_STORE_MISSES.WALK_COMPLETED_4K, 0x213
DTLB_STORE_MISSES.WALK_PENDING, 0x1049
DTLB_STORE_MISSES.WALK_PENDING, 0x1013
ITLB.FILLS, 0x481
ITLB_MISSES.MISS_CAUSED_WALK, 0x185
ITLB_MISSES.PDE_CACHE_MISS, 0x8085
ITLB_MISSES.STLB_HIT, 0x2085
ITLB_MISSES.STLB_HIT, 0x12011
ITLB_MISSES.WALK_ACTIVE, 0x1011
ITLB_MISSES.WALK_COMPLETED, 0xe85
ITLB_MISSES.WALK_COMPLETED, 0xe11
ITLB_MISSES.WALK_COMPLETED_2M_4M, 0x485
ITLB_MISSES.WALK_COMPLETED_2M_4M, 0x411
ITLB_MISSES.WALK_COMPLETED_4K, 0x285
ITLB_MISSES.WALK_COMPLETED_4K, 0x211
ITLB_MISSES.WALK_PENDING, 0x1085
ITLB_MISSES.WALK_PENDING, 0x1011
LD_BLOCKS.DTLB_MISS, 0x803
LD_HEAD.DTLB_MISS, 0x1005
LD_HEAD.DTLB_MISS_AT_RET, 0x9005
PAGE_WALKER_LOADS.DTLB_L1_HIT, 0x1bc
PAGE_WALKER_LOADS.DTLB_L2_HIT, 0x2bc
TLB_FLUSHES.STLB_ANY, 0x20bd
ARITH.FPDIV_ACTIVE, 0x2cd
ARITH.FPDIV_ACTIVE, 0x1b0
ARITH.FPDIV_OCCUPANCY, 0x2cd
ARITH.FPDIV_UOPS, 0x8cd
ASSISTS.FP, 0x2c1
ASSISTS.SSE_AVX_MIX, 0x10c1
FP_ARITH_DISPATCHED.V0, 0x1b3
FP_ARITH_DISPATCHED.V1, 0x2b3
FP_ARITH_DISPATCHED.V2, 0x4b3
FP_ARITH_DISPATCHED.V3, 0x8b3
FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE, 0x4c7
FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE, 0x8c7
FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE, 0x10c7
FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE, 0x20c7
FP_ARITH_INST_RETIRED.4_FLOPS, 0x18c7
FP_ARITH_INST_RETIRED.SCALAR, 0x3c7
FP_ARITH_INST_RETIRED.SCALAR_DOUBLE, 0x1c7
FP_ARITH_INST_RETIRED.SCALAR_SINGLE, 0x2c7
FP_ARITH_INST_RETIRED.VECTOR, 0x3cc7
FP_ARITH_INST_RETIRED.VECTOR_128B, 0xcc7
FP_ARITH_INST_RETIRED.VECTOR_256B, 0x30c7
FP_ARITH_OPS_RETIRED.128B_PACKED_DOUBLE, 0x4c7
FP_ARITH_OPS_RETIRED.128B_PACKED_SINGLE, 0x8c7
FP_ARITH_OPS_RETIRED.256B_PACKED_DOUBLE, 0x10c7
FP_ARITH_OPS_RETIRED.256B_PACKED_SINGLE, 0x20c7
FP_ARITH_OPS_RETIRED.4_FLOPS, 0x18c7
FP_ARITH_OPS_RETIRED.SCALAR, 0x3c7
FP_ARITH_OPS_RETIRED.SCALAR_DOUBLE, 0x1c7
FP_ARITH_OPS_RETIRED.SCALAR_SINGLE, 0x2c7
FP_ARITH_OPS_RETIRED.VECTOR, 0x3cc7
FP_ARITH_OPS_RETIRED.VECTOR_128B, 0xcc7
FP_ARITH_OPS_RETIRED.VECTOR_256B, 0x30c7
FP_FLOPS_RETIRED.ALL, 0x3c8
FP_FLOPS_RETIRED.FP32, 0x2c8
FP_FLOPS_RETIRED.FP64, 0x1c8
FP_INST_RETIRED.128B_DP, 0x8c7
FP_INST_RETIRED.128B_SP, 0x4c7
