regex,vendor,micro-architecture
AuthenticAMD-23-([12][0-9A-F]|[0-9A-F]),amd,zen-1
AuthenticAMD-23-[0-9A-F]+,amd,zen-2
AuthenticAMD-25-([245][0-9A-F]|[0-9A-F]),amd,zen-3
AuthenticAMD-25-[0-9A-F]+,amd,zen-4
AuthenticAMD-26-[0-9A-F]+,amd,zen-5
GenuineIntel-6-(1C|26|27|35|36),intel,bonnell
GenuineIntel-6-(37|4A|4C|4D|5A),intel,silvermont
GenuineIntel-6-(3C|45|46),intel,haswell
GenuineIntel-6-(3D|47),intel,broadwell
GenuineIntel-6-(4E|5E|8E|9E|A5|A6),intel,skylake
GenuineIntel-6-(57|85),intel,knights-landing
GenuineIntel-6-(97|9A|B7|BA|BF),intel,alder-lake
GenuineIntel-6-(AA|AC|B5),intel,meteor-lake
GenuineIntel-6-1[AEF],intel,nehalem-ep
GenuineIntel-6-25,intel,westmere-ep-sp
GenuineIntel-6-2A,intel,sandy-bridge
GenuineIntel-6-2C,intel,westmere-ep-dp
GenuineIntel-6-2D,intel,jake-town
GenuineIntel-6-2E,intel,nehalem-ex
GenuineIntel-6-2F,intel,westmere-ex
GenuineIntel-6-3A,intel,ivy-bridge
GenuineIntel-6-3E,intel,ivy-town
GenuineIntel-6-3F,intel,haswell-x
GenuineIntel-6-4F,intel,broadwell-x
GenuineIntel-6-55-[01234],intel,skylake-x
GenuineIntel-6-55-[56789ABCDEF],intel,cascade-lake-x
GenuineIntel-6-56,intel,broadwell-de
GenuineIntel-6-5[CF],intel,goldmont
GenuineIntel-6-6[AC],intel,ice-lake-x
GenuineIntel-6-7A,intel,goldmont-plus
GenuineIntel-6-7[DE],intel,ice-lake
GenuineIntel-6-86,intel,snow-ridge-x
GenuineIntel-6-8F,intel,sapphire-rapids
GenuineIntel-6-8[CD],intel,tiger-lake
GenuineIntel-6-9[6C],intel,elkhart-lake
GenuineIntel-6-A7,intel,rocket-lake
GenuineIntel-6-AF,intel,sierra-forest
GenuineIntel-6-A[DE],intel,granite-rapids
GenuineIntel-6-B6,intel,grand-ridge
GenuineIntel-6-BD,intel,lunar-lake
GenuineIntel-6-BE,intel,alder-lake-n
GenuineIntel-6-CF,intel,emerald-rapids
GenuineIntel-6-C[56],intel,arrow-lake
GenuineIntel-6-DD,intel,clearwater-forest
