OFFCORE_RESPONSE.ANY_DATA.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.COREWB.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.COREWB.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.COREWB.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.COREWB.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.DATA_IN.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.DATA_IN.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.DATA_IN.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.DATA_IN.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_IFETCH.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_IFETCH.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.DEMAND_IFETCH.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_IFETCH.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.OTHER.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.OTHER.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.OTHER.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_DATA.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_DATA.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.PF_DATA.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_DATA.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_DATA_RD.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_DATA_RD.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.PF_DATA_RD.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_DATA_RD.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_IFETCH.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_IFETCH.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.PF_IFETCH.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_IFETCH.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_RFO.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_RFO.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.PF_RFO.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.PF_RFO.REMOTE_DRAM, 0x1b7
OFFCORE_RESPONSE.PREFETCH.ANY_DRAM, 0x1b7
OFFCORE_RESPONSE.PREFETCH.ANY_LLC_MISS, 0x1b7
OFFCORE_RESPONSE.PREFETCH.LOCAL_DRAM, 0x1b7
OFFCORE_RESPONSE.PREFETCH.REMOTE_DRAM, 0x1b7
DTLB_LOAD_MISSES.ANY, 0x108
DTLB_LOAD_MISSES.PDE_MISS, 0x2008
DTLB_LOAD_MISSES.STLB_HIT, 0x1008
DTLB_LOAD_MISSES.WALK_COMPLETED, 0x208
DTLB_MISSES.ANY, 0x149
DTLB_MISSES.STLB_HIT, 0x1049
DTLB_MISSES.WALK_COMPLETED, 0x249
ITLB_FLUSH, 0x1ae
ITLB_MISSES.ANY, 0x185
ITLB_MISSES.WALK_COMPLETED, 0x285
ITLB_MISS_RETIRED, 0x20c8
LARGE_ITLB.HIT, 0x182
MEM_LOAD_RETIRED.DTLB_MISS, 0x80cb
