cycle_activity.stalls_l3_miss, 0x6a3
machine_clears.memory_ordering, 0x2c3
memory_activity.cycles_l1d_miss, 0x247
memory_activity.stalls_l1d_miss, 0x347
memory_activity.stalls_l2_miss, 0x547
memory_activity.stalls_l3_miss, 0x947
mem_trans_retired.load_latency_gt_1024, 0x1cd
mem_trans_retired.load_latency_gt_128, 0x1cd
mem_trans_retired.load_latency_gt_16, 0x1cd
mem_trans_retired.load_latency_gt_256, 0x1cd
mem_trans_retired.load_latency_gt_32, 0x1cd
mem_trans_retired.load_latency_gt_4, 0x1cd
mem_trans_retired.load_latency_gt_512, 0x1cd
mem_trans_retired.load_latency_gt_64, 0x1cd
mem_trans_retired.load_latency_gt_8, 0x1cd
mem_trans_retired.store_sample, 0x2cd
ocr.demand_code_rd.dram_0, 0x12a
ocr.demand_code_rd.dram_1, 0x12b
ocr.demand_code_rd.l3_miss_0, 0x12a
ocr.demand_code_rd.l3_miss_1, 0x12b
ocr.demand_code_rd.local_dram_0, 0x12a
ocr.demand_code_rd.local_dram_1, 0x12b
ocr.demand_code_rd.snc_dram_0, 0x12a
ocr.demand_code_rd.snc_dram_1, 0x12b
ocr.demand_data_rd.dram_0, 0x12a
ocr.demand_data_rd.dram_1, 0x12b
ocr.demand_data_rd.l3_miss_0, 0x12a
ocr.demand_data_rd.l3_miss_1, 0x12b
ocr.demand_data_rd.local_dram_0, 0x12a
ocr.demand_data_rd.local_dram_1, 0x12b
ocr.demand_data_rd.remote_dram_0, 0x12a
ocr.demand_data_rd.remote_dram_1, 0x12b
ocr.demand_data_rd.snc_dram_0, 0x12a
ocr.demand_data_rd.snc_dram_1, 0x12b
ocr.demand_rfo.dram_0, 0x12a
ocr.demand_rfo.dram_1, 0x12b
ocr.demand_rfo.l3_miss_0, 0x12a
ocr.demand_rfo.l3_miss_1, 0x12b
ocr.demand_rfo.local_dram_0, 0x12a
ocr.demand_rfo.local_dram_1, 0x12b
ocr.demand_rfo.snc_dram_0, 0x12a
ocr.demand_rfo.snc_dram_1, 0x12b
ocr.hwpf_l3.l3_miss_0, 0x12a
ocr.hwpf_l3.l3_miss_1, 0x12b
ocr.hwpf_l3.l3_miss_local_0, 0x12a
ocr.hwpf_l3.l3_miss_local_1, 0x12b
ocr.reads_to_core.dram_0, 0x12a
ocr.reads_to_core.dram_1, 0x12b
ocr.reads_to_core.l3_miss_0, 0x12a
ocr.reads_to_core.l3_miss_1, 0x12b
ocr.reads_to_core.l3_miss_local_0, 0x12a
ocr.reads_to_core.l3_miss_local_1, 0x12b
ocr.reads_to_core.l3_miss_local_socket_0, 0x12a
ocr.reads_to_core.l3_miss_local_socket_1, 0x12b
ocr.reads_to_core.local_dram_0, 0x12a
ocr.reads_to_core.local_dram_1, 0x12b
ocr.reads_to_core.local_socket_dram_0, 0x12a
ocr.reads_to_core.local_socket_dram_1, 0x12b
ocr.reads_to_core.remote_dram_0, 0x12a
ocr.reads_to_core.remote_dram_1, 0x12b
ocr.reads_to_core.remote_memory_0, 0x12a
ocr.reads_to_core.remote_memory_1, 0x12b
ocr.reads_to_core.snc_dram_0, 0x12a
ocr.reads_to_core.snc_dram_1, 0x12b
ocr.streaming_wr.l3_miss_0, 0x12a
ocr.streaming_wr.l3_miss_1, 0x12b
ocr.streaming_wr.l3_miss_local_0, 0x12a
ocr.streaming_wr.l3_miss_local_1, 0x12b
ocr.write_estimate.memory_0, 0x12a
ocr.write_estimate.memory_1, 0x12b
offcore_requests.l3_miss_demand_data_rd, 0x1021
offcore_requests_outstanding.l3_miss_demand_data_rd, 0x1020
rtm_retired.aborted, 0x4c9
rtm_retired.aborted_events, 0x80c9
rtm_retired.aborted_mem, 0x8c9
rtm_retired.aborted_memtype, 0x40c9
rtm_retired.aborted_unfriendly, 0x20c9
rtm_retired.commit, 0x2c9
rtm_retired.start, 0x1c9
tx_mem.abort_capacity_read, 0x8054
tx_mem.abort_capacity_write, 0x254
tx_mem.abort_conflict, 0x154
dtlb_load_misses.stlb_hit, 0x2012
dtlb_load_misses.walk_active, 0x1012
dtlb_load_misses.walk_completed, 0xe12
dtlb_load_misses.walk_completed_1g, 0x812
dtlb_load_misses.walk_completed_2m_4m, 0x412
dtlb_load_misses.walk_completed_4k, 0x212
dtlb_load_misses.walk_pending, 0x1012
dtlb_store_misses.stlb_hit, 0x2013
dtlb_store_misses.walk_active, 0x1013
dtlb_store_misses.walk_completed, 0xe13
dtlb_store_misses.walk_completed_1g, 0x813
dtlb_store_misses.walk_completed_2m_4m, 0x413
dtlb_store_misses.walk_completed_4k, 0x213
dtlb_store_misses.walk_pending, 0x1013
itlb_misses.stlb_hit, 0x2011
itlb_misses.walk_active, 0x1011
itlb_misses.walk_completed, 0xe11
itlb_misses.walk_completed_2m_4m, 0x411
itlb_misses.walk_completed_4k, 0x211
itlb_misses.walk_pending, 0x1011
arith.fpdiv_active, 0x1b0
assists.fp, 0x2c1
assists.sse_avx_mix, 0x10c1
fp_arith_dispatched.port_0, 0x1b3
fp_arith_dispatched.port_1, 0x2b3
fp_arith_dispatched.port_5, 0x4b3
fp_arith_dispatched.v0, 0x1b3
fp_arith_dispatched.v1, 0x2b3
fp_arith_dispatched.v2, 0x4b3
fp_arith_inst_retired.128b_packed_double, 0x4c7
fp_arith_inst_retired.128b_packed_single, 0x8c7
fp_arith_inst_retired.256b_packed_double, 0x10c7
fp_arith_inst_retired.256b_packed_single, 0x20c7
fp_arith_inst_retired.4_flops, 0x18c7
fp_arith_inst_retired.512b_packed_double, 0x40c7
fp_arith_inst_retired.512b_packed_single, 0x80c7
fp_arith_inst_retired.8_flops, 0x60c7
fp_arith_inst_retired.scalar, 0x3c7
fp_arith_inst_retired.scalar_double, 0x1c7
fp_arith_inst_retired.scalar_single, 0x2c7
fp_arith_inst_retired.vector, 0xfcc7
fp_arith_inst_retired2.128b_packed_half, 0x4cf
fp_arith_inst_retired2.256b_packed_half, 0x8cf
fp_arith_inst_retired2.512b_packed_half, 0x10cf
fp_arith_inst_retired2.complex_scalar_half, 0x2cf
fp_arith_inst_retired2.scalar, 0x3cf
fp_arith_inst_retired2.scalar_half, 0x1cf
fp_arith_inst_retired2.vector, 0x1ccf
unc_p_clockticks, 0x1
unc_p_core_transition_cycles, 0x60
unc_p_demotions, 0x30
unc_p_fivr_ps_ps0_cycles, 0x75
unc_p_fivr_ps_ps1_cycles, 0x76
unc_p_fivr_ps_ps2_cycles, 0x77
unc_p_fivr_ps_ps3_cycles, 0x78
unc_p_freq_clip_avx256, 0x49
