MACHINE_CLEARS.MEMORY_ORDERING, 0x2c3
MEM_UOPS_RETIRED.DTLB_MISS_LOADS, 0x804
PAGE_WALKS.CYCLES, 0x305
PAGE_WALKS.D_SIDE_CYCLES, 0x105
PAGE_WALKS.D_SIDE_WALKS, 0x105
PAGE_WALKS.I_SIDE_CYCLES, 0x205
PAGE_WALKS.I_SIDE_WALKS, 0x205
PAGE_WALKS.WALKS, 0x305
MACHINE_CLEARS.FP_ASSIST, 0x4c3
FETCH_STALL.ALL, 0x3f86
FETCH_STALL.ITLB_FILL_PENDING_CYCLES, 0x286
BACLEARS.ALL, 0x1e6
BACLEARS.COND, 0x10e6
BACLEARS.RETURN, 0x8e6
DECODE_RESTRICTION.PREDECODE_WRONG, 0x1e9
ICACHE.ACCESSES, 0x380
ICACHE.HIT, 0x180
ICACHE.MISSES, 0x280
MS_DECODED.MS_ENTRY, 0x1e7
BR_INST_RETIRED.ALL_BRANCHES, 0xc4
BR_INST_RETIRED.ALL_TAKEN_BRANCHES, 0x80c4
BR_INST_RETIRED.CALL, 0xf9c4
BR_INST_RETIRED.FAR_BRANCH, 0xbfc4
BR_INST_RETIRED.IND_CALL, 0xfbc4
BR_INST_RETIRED.JCC, 0x7ec4
BR_INST_RETIRED.NON_RETURN_IND, 0xebc4
BR_INST_RETIRED.REL_CALL, 0xfdc4
BR_INST_RETIRED.RETURN, 0xf7c4
BR_INST_RETIRED.TAKEN_JCC, 0xfec4
BR_MISP_RETIRED.ALL_BRANCHES, 0xc5
BR_MISP_RETIRED.IND_CALL, 0xfbc5
BR_MISP_RETIRED.JCC, 0x7ec5
BR_MISP_RETIRED.NON_RETURN_IND, 0xebc5
BR_MISP_RETIRED.RETURN, 0xf7c5
BR_MISP_RETIRED.TAKEN_JCC, 0xfec5
CPU_CLK_UNHALTED.CORE_P, 0x3c
CPU_CLK_UNHALTED.REF, 0x13c
CYCLES_DIV_BUSY.ALL, 0x1cd
INST_RETIRED.ANY_P, 0xc0
MACHINE_CLEARS.ALL, 0x8c3
MACHINE_CLEARS.SMC, 0x1c3
NO_ALLOC_CYCLES.ALL, 0x3fca
NO_ALLOC_CYCLES.MISPREDICTS, 0x4ca
NO_ALLOC_CYCLES.NOT_DELIVERED, 0x50ca
NO_ALLOC_CYCLES.RAT_STALL, 0x20ca
NO_ALLOC_CYCLES.ROB_FULL, 0x1ca
RS_FULL_STALL.ALL, 0x1fcb
RS_FULL_STALL.MEC, 0x1cb
UOPS_RETIRED.ALL, 0x10c2
UOPS_RETIRED.MS, 0x1c2
CORE_REJECT_L2Q.ALL, 0x31
FETCH_STALL.ICACHE_FILL_PENDING_CYCLES, 0x486
L2_REJECT_XQ.ALL, 0x30
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
MEM_UOPS_RETIRED.ALL_LOADS, 0x4004
MEM_UOPS_RETIRED.ALL_STORES, 0x8004
MEM_UOPS_RETIRED.HITM, 0x2004
MEM_UOPS_RETIRED.L1_MISS_LOADS, 0x104
MEM_UOPS_RETIRED.L2_HIT_LOADS, 0x204
MEM_UOPS_RETIRED.L2_MISS_LOADS, 0x404
MEM_UOPS_RETIRED.UTLB_MISS, 0x1004
OFFCORE_RESPONSE, 0x1b7
OFFCORE_RESPONSE.ANY_CODE_RD.ANY_RESPONSE, 0x1b7
OFFCORE_RESPONSE.ANY_CODE_RD.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.ANY_CODE_RD.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_CODE_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.ANY_CODE_RD.L2_MISS.SNOOP_MISS, 0x1b7
OFFCORE_RESPONSE.ANY_DATA_RD.ANY_RESPONSE, 0x1b7
OFFCORE_RESPONSE.ANY_DATA_RD.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.ANY_DATA_RD.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_DATA_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.ANY_DATA_RD.L2_MISS.SNOOP_MISS, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.ANY_RESPONSE, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.L2_MISS.SNOOP_MISS, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.ANY_RESPONSE, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.L2_MISS.SNOOP_MISS, 0x1b7
OFFCORE_RESPONSE.COREWB.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.COREWB.L2_MISS.NO_SNOOP_NEEDED, 0x1b7
OFFCORE_RESPONSE.DEMAND_CODE_RD.ANY_RESPONSE, 0x1b7
OFFCORE_RESPONSE.DEMAND_CODE_RD.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.DEMAND_CODE_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.DEMAND_CODE_RD.L2_MISS.SNOOP_MISS, 0x1b7
OFFCORE_RESPONSE.DEMAND_CODE_RD.OUTSTANDING, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.ANY_RESPONSE, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.SNOOP_MISS, 0x1b7
OFFCORE_RESPONSE.DEMAND_DATA_RD.OUTSTANDING, 0x1b7
OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.ANY, 0x1b7
