machine_clears.memory_ordering, 0x2c3
misalign_mem_ref.load_page_split, 0x213
misalign_mem_ref.store_page_split, 0x413
ocr.all_code_rd.dram, 0x1b7
ocr.all_code_rd.l3_miss, 0x1b7
ocr.all_code_rd.l3_miss_local, 0x1b7
ocr.all_code_rd.local_dram, 0x1b7
ocr.corewb_m.l3_miss, 0x1b7
ocr.corewb_m.l3_miss_local, 0x1b7
ocr.demand_code_rd.dram, 0x1b7
ocr.demand_code_rd.l3_miss, 0x1b7
ocr.demand_code_rd.l3_miss_local, 0x1b7
ocr.demand_code_rd.local_dram, 0x1b7
ocr.demand_data_and_l1pf_rd.dram, 0x1b7
ocr.demand_data_and_l1pf_rd.l3_miss, 0x1b7
ocr.demand_data_and_l1pf_rd.l3_miss_local, 0x1b7
ocr.demand_data_and_l1pf_rd.local_dram, 0x1b7
ocr.demand_data_rd.dram, 0x1b7
ocr.demand_data_rd.l3_miss, 0x1b7
ocr.demand_data_rd.l3_miss_local, 0x1b7
ocr.demand_data_rd.local_dram, 0x1b7
ocr.demand_rfo.dram, 0x1b7
ocr.demand_rfo.l3_miss, 0x1b7
ocr.demand_rfo.l3_miss_local, 0x1b7
ocr.demand_rfo.local_dram, 0x1b7
ocr.full_streaming_wr.l3_miss, 0x1b7
ocr.full_streaming_wr.l3_miss_local, 0x1b7
ocr.hwpf_l2_code_rd.dram, 0x1b7
ocr.hwpf_l2_code_rd.l3_miss, 0x1b7
ocr.hwpf_l2_code_rd.l3_miss_local, 0x1b7
ocr.hwpf_l2_code_rd.local_dram, 0x1b7
ocr.hwpf_l2_data_rd.dram, 0x1b7
ocr.hwpf_l2_data_rd.l3_miss, 0x1b7
ocr.hwpf_l2_data_rd.l3_miss_local, 0x1b7
ocr.hwpf_l2_data_rd.local_dram, 0x1b7
ocr.hwpf_l2_rfo.dram, 0x1b7
ocr.hwpf_l2_rfo.l3_miss, 0x1b7
ocr.hwpf_l2_rfo.l3_miss_local, 0x1b7
ocr.hwpf_l2_rfo.local_dram, 0x1b7
ocr.l1wb_m.l3_miss, 0x1b7
ocr.l1wb_m.l3_miss_local, 0x1b7
ocr.l2wb_m.l3_miss, 0x1b7
ocr.l2wb_m.l3_miss_local, 0x1b7
ocr.other.l3_miss, 0x1b7
ocr.other.l3_miss_local, 0x1b7
ocr.partial_streaming_wr.l3_miss, 0x1b7
ocr.partial_streaming_wr.l3_miss_local, 0x1b7
ocr.prefetches.l3_miss, 0x1b7
ocr.reads_to_core.dram, 0x1b7
ocr.reads_to_core.l3_miss, 0x1b7
ocr.reads_to_core.l3_miss_local, 0x1b7
ocr.reads_to_core.local_dram, 0x1b7
ocr.streaming_wr.l3_miss, 0x1b7
ocr.streaming_wr.l3_miss_local, 0x1b7
ocr.uc_rd.dram, 0x1b7
ocr.uc_rd.l3_miss, 0x1b7
ocr.uc_rd.l3_miss_local, 0x1b7
ocr.uc_rd.local_dram, 0x1b7
ocr.uc_wr.l3_miss, 0x1b7
ocr.uc_wr.l3_miss_local, 0x1b7
dtlb_load_misses.pde_cache_miss, 0x8008
dtlb_load_misses.stlb_hit, 0x2008
dtlb_load_misses.walk_completed, 0xe08
dtlb_load_misses.walk_completed_1g, 0x808
dtlb_load_misses.walk_completed_2m_4m, 0x408
dtlb_load_misses.walk_completed_4k, 0x208
dtlb_load_misses.walk_pending, 0x1008
dtlb_store_misses.pde_cache_miss, 0x8049
dtlb_store_misses.stlb_hit, 0x2049
dtlb_store_misses.walk_completed, 0xe49
dtlb_store_misses.walk_completed_1g, 0x849
dtlb_store_misses.walk_completed_2m_4m, 0x449
dtlb_store_misses.walk_completed_4k, 0x249
dtlb_store_misses.walk_pending, 0x1049
ept.epde_hit, 0x14f
ept.epde_miss, 0x24f
ept.epdpe_hit, 0x44f
ept.epdpe_miss, 0x84f
ept.walk_pending, 0x104f
itlb.fills, 0x481
itlb_misses.pde_cache_miss, 0x8085
itlb_misses.stlb_hit, 0x2085
itlb_misses.walk_completed, 0xe85
itlb_misses.walk_completed_1g, 0x885
itlb_misses.walk_completed_2m_4m, 0x485
itlb_misses.walk_completed_4k, 0x285
itlb_misses.walk_pending, 0x1085
ld_blocks.dtlb_miss, 0x803
mem_uops_retired.dtlb_miss, 0x13d0
mem_uops_retired.dtlb_miss_loads, 0x11d0
mem_uops_retired.dtlb_miss_stores, 0x12d0
cycles_div_busy.fpdiv, 0x2cd
machine_clears.fp_assist, 0x4c3
uops_retired.fpdiv, 0x8c2
unc_p_core_transition_cycles, 0x60
unc_p_demotions, 0x30
unc_p_fivr_ps_ps0_cycles, 0x75
unc_p_fivr_ps_ps1_cycles, 0x76
unc_p_fivr_ps_ps2_cycles, 0x77
unc_p_fivr_ps_ps3_cycles, 0x78
unc_p_freq_clip_avx256, 0x49
unc_p_freq_clip_avx512, 0x4a
unc_p_freq_max_limit_thermal_cycles, 0x4
unc_p_freq_max_power_cycles, 0x5
unc_p_freq_min_io_p_cycles, 0x73
unc_p_freq_trans_cycles, 0x74
unc_p_memory_phase_shedding_cycles, 0x2f
unc_p_pkg_residency_c0_cycles, 0x2a
unc_p_pkg_residency_c2e_cycles, 0x2b
unc_p_pkg_residency_c3_cycles, 0x2c
unc_p_pkg_residency_c6_cycles, 0x2d
unc_p_pmax_throttled_cycles, 0x6
unc_p_power_state_occupancy.cores_c0, 0x4080
unc_p_power_state_occupancy.cores_c3, 0x8080
unc_p_power_state_occupancy.cores_c6, 0xc080
unc_p_prochot_external_cycles, 0xa
unc_p_prochot_internal_cycles, 0x9
unc_p_total_transition_cycles, 0x72
unc_p_vr_hot_cycles, 0x42
unc_cha_ag0_ad_crd_acquired0.tgr0, 0x180
unc_cha_ag0_ad_crd_acquired0.tgr1, 0x280
unc_cha_ag0_ad_crd_acquired0.tgr2, 0x480
unc_cha_ag0_ad_crd_acquired0.tgr3, 0x880
unc_cha_ag0_ad_crd_acquired0.tgr4, 0x1080
unc_cha_ag0_ad_crd_acquired0.tgr5, 0x2080
unc_cha_ag0_ad_crd_acquired0.tgr6, 0x4080
unc_cha_ag0_ad_crd_acquired0.tgr7, 0x8080
unc_cha_ag0_ad_crd_acquired1.tgr10, 0x481
unc_cha_ag0_ad_crd_acquired1.tgr8, 0x181
unc_cha_ag0_ad_crd_acquired1.tgr9, 0x281
unc_cha_ag0_ad_crd_occupancy0.tgr0, 0x182
unc_cha_ag0_ad_crd_occupancy0.tgr1, 0x282
unc_cha_ag0_ad_crd_occupancy0.tgr2, 0x482
unc_cha_ag0_ad_crd_occupancy0.tgr3, 0x882
unc_cha_ag0_ad_crd_occupancy0.tgr4, 0x1082
unc_cha_ag0_ad_crd_occupancy0.tgr5, 0x2082
unc_cha_ag0_ad_crd_occupancy0.tgr6, 0x4082
unc_cha_ag0_ad_crd_occupancy0.tgr7, 0x8082
unc_cha_ag0_ad_crd_occupancy1.tgr10, 0x483
unc_cha_ag0_ad_crd_occupancy1.tgr8, 0x183
unc_cha_ag0_ad_crd_occupancy1.tgr9, 0x283
unc_cha_ag0_bl_crd_acquired0.tgr0, 0x188
unc_cha_ag0_bl_crd_acquired0.tgr1, 0x288
unc_cha_ag0_bl_crd_acquired0.tgr2, 0x488
unc_cha_ag0_bl_crd_acquired0.tgr3, 0x888
unc_cha_ag0_bl_crd_acquired0.tgr4, 0x1088
unc_cha_ag0_bl_crd_acquired0.tgr5, 0x2088
unc_cha_ag0_bl_crd_acquired0.tgr6, 0x4088
unc_cha_ag0_bl_crd_acquired0.tgr7, 0x8088
unc_cha_ag0_bl_crd_acquired1.tgr10, 0x489
unc_cha_ag0_bl_crd_acquired1.tgr8, 0x189
unc_cha_ag0_bl_crd_acquired1.tgr9, 0x289
unc_cha_ag0_bl_crd_occupancy0.tgr0, 0x18a
unc_cha_ag0_bl_crd_occupancy0.tgr1, 0x28a
unc_cha_ag0_bl_crd_occupancy0.tgr2, 0x48a
unc_cha_ag0_bl_crd_occupancy0.tgr3, 0x88a
unc_cha_ag0_bl_crd_occupancy0.tgr4, 0x108a
unc_cha_ag0_bl_crd_occupancy0.tgr5, 0x208a
unc_cha_ag0_bl_crd_occupancy0.tgr6, 0x408a
unc_cha_ag0_bl_crd_occupancy0.tgr7, 0x808a
unc_cha_ag0_bl_crd_occupancy1.tgr10, 0x48b
unc_cha_ag0_bl_crd_occupancy1.tgr8, 0x18b
unc_cha_ag0_bl_crd_occupancy1.tgr9, 0x28b
unc_cha_ag1_ad_crd_acquired0.tgr0, 0x184
unc_cha_ag1_ad_crd_acquired0.tgr1, 0x284
unc_cha_ag1_ad_crd_acquired0.tgr2, 0x484
unc_cha_ag1_ad_crd_acquired0.tgr3, 0x884
unc_cha_ag1_ad_crd_acquired0.tgr4, 0x1084
unc_cha_ag1_ad_crd_acquired0.tgr5, 0x2084
unc_cha_ag1_ad_crd_acquired0.tgr6, 0x4084
unc_cha_ag1_ad_crd_acquired0.tgr7, 0x8084
unc_cha_ag1_ad_crd_acquired1.tgr10, 0x485
unc_cha_ag1_ad_crd_acquired1.tgr8, 0x185
unc_cha_ag1_ad_crd_acquired1.tgr9, 0x285
unc_cha_ag1_ad_crd_occupancy0.tgr0, 0x186
