misalign_mem_ref.store, 0x205
offcore_response.any_data.any_dram_and_remote_fwd_0, 0x1b7, 0x3011
offcore_response.any_data.any_dram_and_remote_fwd_1, 0x1bb, 0x3011
offcore_response.any_data.any_llc_miss_0, 0x1b7, 0xf811
offcore_response.any_data.any_llc_miss_1, 0x1bb, 0xf811
offcore_response.any_data.other_local_dram_0, 0x1b7, 0x4011
offcore_response.any_data.other_local_dram_1, 0x1bb, 0x4011
offcore_response.any_data.remote_dram_0, 0x1b7, 0x2011
offcore_response.any_data.remote_dram_1, 0x1bb, 0x2011
offcore_response.any_ifetch.any_dram_and_remote_fwd_0, 0x1b7, 0x3044
offcore_response.any_ifetch.any_dram_and_remote_fwd_1, 0x1bb, 0x3044
offcore_response.any_ifetch.any_llc_miss_0, 0x1b7, 0xf844
offcore_response.any_ifetch.any_llc_miss_1, 0x1bb, 0xf844
offcore_response.any_ifetch.other_local_dram_0, 0x1b7, 0x4044
offcore_response.any_ifetch.other_local_dram_1, 0x1bb, 0x4044
offcore_response.any_ifetch.remote_dram_0, 0x1b7, 0x2044
offcore_response.any_ifetch.remote_dram_1, 0x1bb, 0x2044
offcore_response.any_request.any_dram_and_remote_fwd_0, 0x1b7, 0x30ff
offcore_response.any_request.any_dram_and_remote_fwd_1, 0x1bb, 0x30ff
offcore_response.any_request.any_llc_miss_0, 0x1b7, 0xf8ff
offcore_response.any_request.any_llc_miss_1, 0x1bb, 0xf8ff
offcore_response.any_request.other_local_dram_0, 0x1b7, 0x40ff
offcore_response.any_request.other_local_dram_1, 0x1bb, 0x40ff
offcore_response.any_request.remote_dram_0, 0x1b7, 0x20ff
offcore_response.any_request.remote_dram_1, 0x1bb, 0x20ff
offcore_response.any_rfo.any_dram_and_remote_fwd_0, 0x1b7, 0x3022
offcore_response.any_rfo.any_dram_and_remote_fwd_1, 0x1bb, 0x3022
offcore_response.any_rfo.any_llc_miss_0, 0x1b7, 0xf822
offcore_response.any_rfo.any_llc_miss_1, 0x1bb, 0xf822
offcore_response.any_rfo.other_local_dram_0, 0x1b7, 0x4022
offcore_response.any_rfo.other_local_dram_1, 0x1bb, 0x4022
offcore_response.any_rfo.remote_dram_0, 0x1b7, 0x2022
offcore_response.any_rfo.remote_dram_1, 0x1bb, 0x2022
offcore_response.corewb.any_dram_and_remote_fwd_0, 0x1b7, 0x3008
offcore_response.corewb.any_dram_and_remote_fwd_1, 0x1bb, 0x3008
offcore_response.corewb.any_llc_miss_0, 0x1b7, 0xf808
offcore_response.corewb.any_llc_miss_1, 0x1bb, 0xf808
offcore_response.corewb.other_local_dram_0, 0x1b7, 0x4008
offcore_response.corewb.other_local_dram_1, 0x1bb, 0x4008
offcore_response.corewb.remote_dram_0, 0x1b7, 0x2008
offcore_response.corewb.remote_dram_1, 0x1bb, 0x2008
offcore_response.data_ifetch.any_dram_and_remote_fwd_0, 0x1b7, 0x3077
offcore_response.data_ifetch.any_dram_and_remote_fwd_1, 0x1bb, 0x3077
offcore_response.data_ifetch.any_llc_miss_0, 0x1b7, 0xf877
offcore_response.data_ifetch.any_llc_miss_1, 0x1bb, 0xf877
offcore_response.data_ifetch.other_local_dram_0, 0x1b7, 0x4077
offcore_response.data_ifetch.other_local_dram_1, 0x1bb, 0x4077
offcore_response.data_ifetch.remote_dram_0, 0x1b7, 0x2077
offcore_response.data_ifetch.remote_dram_1, 0x1bb, 0x2077
offcore_response.data_in.any_dram_and_remote_fwd_0, 0x1b7, 0x3033
offcore_response.data_in.any_dram_and_remote_fwd_1, 0x1bb, 0x3033
offcore_response.data_in.any_llc_miss_0, 0x1b7, 0xf833
offcore_response.data_in.any_llc_miss_1, 0x1bb, 0xf833
offcore_response.data_in.other_local_dram_0, 0x1b7, 0x4033
offcore_response.data_in.other_local_dram_1, 0x1bb, 0x4033
offcore_response.data_in.remote_dram_0, 0x1b7, 0x2033
offcore_response.data_in.remote_dram_1, 0x1bb, 0x2033
offcore_response.demand_data.any_dram_and_remote_fwd_0, 0x1b7, 0x3003
